,0
EFO_0000195,74.44641792818862
EFO_0000274,25.794823498085957
EFO_0000319,5.940856154230015
EFO_0000341,23.73459382010619
EFO_0000384,6.0959563901335105
EFO_0000612,5.410927092229152
EFO_0000676,4.487551864624659
EFO_0000731,5.321818739301146
EFO_0003095,1.5338935613829503
EFO_0003761,3.5937274950179408
EFO_0003767,6.484142324391232
EFO_0003923,4.436687686193082
EFO_0004193,-0.007224187455701046
EFO_0004314,0.7070999204152596
EFO_0004318,2.237765286241455
EFO_0004338,6.793513507254173
EFO_0004344,4.185684039302913
EFO_0004462,3.698533302900398
EFO_0004468,1.3861057761322895
EFO_0004535,4.891280641468523
EFO_0004536,6.223455183336891
EFO_0004568,3.9250308329861574
EFO_0004570,7.4644818964834
EFO_0004617,2.2843398153686674
EFO_0004627,10.08056395600512
EFO_0004631,34.69986680819915
EFO_0004682,5.943495945536447
EFO_0004703,19.910137077934614
EFO_0004704,2.3732191909090847
EFO_0004705,2.391601950121198
EFO_0004741,3.8112948302422454
EFO_0004761,7.232003073395274
EFO_0004765,1.9455631571119267
EFO_0004838,7.470392751446
EFO_0004995,2.443813535067009
EFO_0005036,28.82022952094412
EFO_0005047,0.9753336060549759
EFO_0005055,4.724058360712565
EFO_0005090,3.1359550585014717
EFO_0005210,18.089401109394906
EFO_0005213,2.282675906886447
EFO_0005423,2.4765490966317953
EFO_0006312,8.729930310244091
EFO_0006340,3.1045049132594746
EFO_0006525,3.712359777017449
EFO_0006939,5.525086751475829
EFO_0007005,7.017207443940017
EFO_0007006,1.6601261830697251
EFO_0007629,1.8031438479967505
EFO_0007800,0.6201646356004938
EFO_0007822,3.9263044134619536
EFO_0007869,1.0652338864708646
EFO_0007874,1.3609168314926847
EFO_0007876,16.285754578112943
EFO_0007885,9.835079225480978
EFO_0007987,62.257861141662715
EFO_0007989,7.309347677447649
EFO_0007990,10.145518110593844
EFO_0007991,6.939866608349781
EFO_0007992,5.840117157352759
EFO_0007993,12.620208288534506
EFO_0007994,9.003065159808825
EFO_0007996,10.09647672683893
EFO_0007997,20.249766372675722
EFO_0008002,0.07631374677846176
EFO_0008354,3.6726618342523794
EFO_0008446,6.152204738504199
EFO_0008447,45.89235057431584
EFO_0009695,14.643533805853039
EFO_0009718,12.270757957037475
EFO_0009749,-0.12005448968468088
EFO_0009819,2.2070600441458823
EFO_0009924,19.57932014805093
EFO_0009927,8.99344331688924
EFO_0009931,7.89983671877496
EFO_0009933,11.375326226278403
EFO_0010067,8.445424865935065
EFO_0010351,18.362768987935898
EFO_0010554,9.52804566272658
EFO_0010578,14.391655949522434
EFO_0010638,2.3489984757345934
EFO_0010701,12.9074811737932
EFO_0010724,4.7139581238304755
EFO_0010934,1.2669235815726165
EFO_0010972,10.630180372298243
EFO_0020865,0.6796985065798442
EFO_0020946,40.05746620229508
EFO_0022196,3.411594367984344
EFO_0600088,1.2408017893275693
EFO_1001486,3.331459493178788
GO_0006306,0.8008567225720075
HP_0000539,6.1520990747341235
HP_0000964,2.9137749739455234
MONDO_0004892,8.21620234460386
MONDO_0004985,2.1567656894192613
MONDO_0005147,4.176284915267008
MONDO_0005271,8.954029820634897
MONDO_0005301,6.357047086727489
MONDO_0005405,5.433386586238465
MONDO_0005575,9.176040640908518
MONDO_0100096,8.407303383990818
