Entrez_A	Entrez_B	num_dbs	dbs
160	4522	1	dip
160	2631	1	dip
160	5332	1	dip
160	5052	1	dip
160	6421	1	dip
160	10592	1	dip
160	6428	1	dip
160	22803	1	dip
160	1173	2	pid2,wan
160	55738	1	pid2
160	1212	1	pid2
160	163	1	wan
160	1175	1	wan
160	162	1	wan
160	10204	1	wan
160	1967	1	wan
28974	1105	1	dip
28974	9276	1	dip
28974	57062	1	dip
28974	1660	1	dip
28974	23028	1	dip
28974	3796	1	dip
28974	4522	1	dip
28974	2631	1	dip
28974	5332	1	dip
28974	5052	1	dip
28974	6421	1	dip
28974	10592	1	dip
28974	6428	1	dip
28974	22803	1	dip
28974	55746	1	wan
1105	9276	1	dip
1105	57062	1	dip
1105	1660	1	dip
1105	10919	1	dip
1105	23028	1	dip
1105	3796	1	dip
1105	4522	1	dip
1105	2631	1	dip
1105	5332	1	dip
1105	5052	1	dip
1105	6421	1	dip
1105	10592	1	dip
1105	6428	1	dip
1105	22803	1	dip
1105	6749	1	wan
1105	23168	1	wan
1105	54623	1	wan
1105	9646	1	wan
9276	8678	1	dip
9276	57062	1	dip
9276	1660	1	dip
9276	23028	1	dip
9276	3796	1	dip
9276	4522	1	dip
9276	51594	1	dip
9276	4790	1	dip
9276	2631	1	dip
9276	5289	1	dip
9276	5332	1	dip
9276	5052	1	dip
9276	60561	1	dip
9276	6421	1	dip
9276	51100	1	dip
9276	10592	1	dip
9276	6428	1	dip
9276	53407	1	dip
9276	7405	1	dip
9276	22803	1	dip
9276	9183	1	dip
9276	1315	1	wan
9276	22820	1	wan
9276	1314	1	wan
9276	372	1	wan
9276	22818	1	wan
9276	9322	1	wan
9276	10383	1	wan
9276	203068	1	wan
57062	1660	1	dip
57062	23028	1	dip
57062	3796	1	dip
57062	4522	1	dip
57062	2631	1	dip
57062	5332	1	dip
57062	5052	1	dip
57062	6421	1	dip
57062	10592	1	dip
57062	6428	1	dip
57062	22803	1	dip
57062	23560	1	wan
57062	23481	1	wan
57062	8886	1	wan
57062	55661	1	wan
57062	4839	1	wan
57062	6201	1	wan
57062	26155	1	wan
57062	54606	1	wan
57062	55759	1	wan
57062	64318	1	wan
57062	84365	1	wan
57062	9933	1	wan
57062	57696	1	wan
57062	10412	1	wan
57062	10528	1	wan
57062	55299	1	wan
57062	6135	1	wan
57062	65083	1	wan
57062	51154	1	wan
57062	51602	1	wan
57062	84154	1	wan
57062	6125	1	wan
57062	11137	1	wan
57062	83743	1	wan
57062	11103	1	wan
57062	2091	1	wan
57062	10969	1	wan
57062	26354	1	wan
57062	23223	1	wan
57062	6191	1	wan
57062	5930	1	wan
57062	10607	1	wan
57062	54464	1	wan
57062	6128	1	wan
57062	6129	1	wan
57062	6124	1	wan
57062	117246	1	wan
57062	4809	1	wan
57062	26512	1	wan
57062	6138	1	wan
57062	56647	1	wan
57062	51388	1	wan
57062	90121	1	wan
57062	6175	1	wan
57062	6181	1	wan
1660	26523	1	dip
1660	27161	1	dip
1660	23405	1	dip
1660	23028	1	dip
1660	3796	1	dip
1660	4522	1	dip
1660	2631	1	dip
1660	5332	1	dip
1660	5052	1	dip
1660	6421	1	dip
1660	10592	1	dip
1660	6428	1	dip
1660	7514	1	dip
1660	22803	1	dip
1660	3309	1	wan
1660	10189	1	wan
1660	10209	1	wan
1660	22824	1	wan
1660	1655	1	wan
1660	7874	1	wan
1660	9352	1	wan
1660	5825	1	wan
1660	10289	1	wan
1660	6632	1	wan
1660	80155	1	wan
1660	29766	1	wan
1660	10236	1	wan
1660	6709	1	wan
1660	988	1	wan
1660	29767	1	wan
23028	367	2	dip,pid2
23028	64919	1	dip
23028	863	1	dip
23028	1107	1	dip
23028	1108	1	dip
23028	10919	1	dip
23028	3065	3	dip,pid2,wan
23028	3066	2	dip,wan
23028	8350	1	dip
23028	8358	1	dip
23028	8352	1	dip
23028	8351	1	dip
23028	8353	1	dip
23028	8968	1	dip
23028	8355	1	dip
23028	8357	1	dip
23028	8354	1	dip
23028	8356	1	dip
23028	3796	1	dip
23028	8861	1	dip
23028	4066	1	dip
23028	4522	1	dip
23028	2631	1	dip
23028	51317	1	dip
23028	5585	1	dip
23028	5332	1	dip
23028	5052	1	dip
23028	5579	1	dip
23028	5925	2	dip,pid2
23028	5931	1	dip
23028	23186	2	dip,wan
23028	861	1	dip
23028	6421	1	dip
23028	10592	1	dip
23028	6615	1	dip
23028	6428	1	dip
23028	23635	1	dip
23028	23648	1	dip
23028	6774	2	dip,pid2
23028	6886	1	dip
23028	6938	1	dip
23028	6929	2	dip,pid2
23028	7157	1	dip
23028	22803	1	dip
23028	1487	1	pid2
23028	27043	1	pid2
23028	1026	1	pid2
23028	2547	1	pid2
23028	1499	1	pid2
23028	3091	1	pid2
23028	4609	1	pid2
23028	8204	1	pid2
23028	2625	1	pid2
23028	1869	1	pid2
23028	23081	1	pid2
23028	55294	1	pid2
23028	3516	1	pid2
23028	672	1	pid2
23028	354	1	pid2
23028	7113	1	pid2
23028	23462	1	pid2
23028	4851	1	pid2
23028	26524	1	pid2
23028	2623	1	pid2
23028	6722	1	pid2
23028	429	1	pid2
23028	6840	1	pid2
23028	9794	1	pid2
23028	4654	1	pid2
23028	2033	1	pid2
23028	1027	1	pid2
23028	10498	1	pid2
23028	9039	1	pid2
23028	6925	1	pid2
23028	7329	1	pid2
23028	55758	1	wan
23028	6599	1	wan
23028	9318	1	wan
3796	4522	1	dip
3796	2631	1	dip
3796	5332	1	dip
3796	5052	1	dip
3796	6421	1	dip
3796	10592	1	dip
3796	6428	1	dip
3796	22803	1	dip
3796	5347	1	pid2
3796	6790	1	pid2
3796	22974	1	pid2
3796	5058	1	pid2
3796	1121	1	wan
3796	114049	1	wan
4522	2631	1	dip
4522	5332	1	dip
4522	5052	1	dip
4522	6421	1	dip
4522	10592	1	dip
4522	6428	1	dip
4522	22803	1	dip
4522	10061	1	wan
4522	10914	1	wan
4522	1264	1	wan
4522	6129	1	wan
4522	8666	1	wan
4522	5211	1	wan
4522	56681	1	wan
4522	7317	1	wan
4522	5214	1	wan
4522	26227	1	wan
4522	54475	1	wan
4522	6175	1	wan
4522	27339	1	wan
4522	6165	1	wan
4522	7511	1	wan
2631	5332	1	dip
2631	5052	1	dip
2631	6421	1	dip
2631	10592	1	dip
2631	6428	1	dip
2631	22803	1	dip
5332	5052	1	dip
5332	6421	1	dip
5332	10592	1	dip
5332	6428	1	dip
5332	22803	1	dip
5052	6421	1	dip
5052	10592	1	dip
5052	6428	1	dip
5052	140809	1	dip
5052	22803	1	dip
5052	367	1	pid2
5052	7337	1	pid2
5052	354	1	pid2
5052	1021	1	pid2
5052	3178	1	pid2
5052	672	1	pid2
5052	5591	1	pid2
5052	7001	1	wan
5052	10935	1	wan
5052	25824	1	wan
5052	1072	1	wan
5052	2597	1	wan
5052	26528	1	wan
5052	6697	1	wan
5052	54187	1	wan
5052	2956	1	wan
5052	581	1	wan
5052	6647	1	wan
5052	9181	1	wan
5052	847	1	wan
5052	445	1	wan
5052	9040	1	wan
5052	6624	1	wan
5052	128989	1	wan
5052	7295	1	wan
5052	51056	1	wan
6421	10592	1	dip
6421	6428	1	dip
6421	22803	1	dip
6421	4841	1	wan
6421	220988	1	wan
6421	3184	1	wan
6421	9377	1	wan
6421	5230	1	wan
6421	4722	1	wan
6421	6897	1	wan
6421	2521	1	wan
6421	4008	1	wan
6421	51729	1	wan
6421	10521	1	wan
6421	3178	1	wan
6421	5213	1	wan
6421	3181	1	wan
6421	26135	1	wan
6421	10989	1	wan
6421	23225	1	wan
6421	10657	1	wan
6421	38	1	wan
6421	7385	1	wan
6421	833	1	wan
6421	988	1	wan
6421	51441	1	wan
6421	51611	1	wan
10592	3015	1	dip
10592	23310	1	dip
10592	54892	1	dip
10592	29781	1	dip
10592	23397	3	dip,pid2,wan
10592	10051	3	dip,pid2,wan
10592	6428	1	dip
10592	22803	1	dip
10592	64151	2	pid2,wan
10592	9918	2	pid2,wan
10592	10403	1	pid2
10592	4691	1	pid2
10592	6790	2	pid2,wan
10592	8243	1	wan
10592	5981	1	wan
10592	29102	1	wan
10592	6729	1	wan
10592	22861	1	wan
10592	103	1	wan
6428	22803	1	dip
6428	6434	1	wan
6428	6426	1	wan
6428	8683	1	wan
6428	6432	1	wan
6428	6431	1	wan
6428	6625	1	wan
6428	29896	1	wan
6428	9782	1	wan
6428	10657	1	wan
6428	1314	1	wan
6428	11316	1	wan
6428	6133	1	wan
6428	6520	1	wan
6428	4839	1	wan
6428	51202	1	wan
6428	55127	1	wan
22803	91368	1	dip
22803	9188	1	dip
22803	5430	1	dip
22803	10419	1	dip
22803	23064	1	dip
22803	6606	1	dip
22803	6607	1	dip
22803	90411	1	wan
22803	8539	1	wan
22803	159686	1	wan
64240	64241	1	dip
9131	55347	1	dip
9131	23568	1	dip
9131	403	1	dip
9131	25943	1	dip
9131	112942	1	dip
9131	3801	1	dip
9131	4001	1	dip
9131	5147	1	dip
9131	9349	1	dip
9131	6233	1	dip
9131	9342	1	dip
9131	7037	1	dip
9131	7311	1	dip
9131	7314	1	dip
9131	7316	1	dip
9131	84747	1	dip
9131	9094	1	dip
9131	55610	1	dip
9131	738	1	dip
9131	6293	1	dip
9131	55275	1	dip
9131	51542	1	dip
9131	7529	1	dip
9131	7532	1	dip
9131	7533	1	dip
9131	10971	1	dip
9131	7534	1	dip
9131	596	1	pid2
9131	581	1	pid2
9131	54205	1	pid2
9131	637	1	pid2
9131	841	1	pid2
9131	2937	1	pid2
9131	7124	1	pid2
9131	1738	1	wan
9131	2936	1	wan
9131	10452	1	wan
9131	617	1	wan
55347	23568	1	dip
55347	403	1	dip
55347	25943	1	dip
55347	112942	1	dip
55347	5147	1	dip
55347	9349	1	dip
55347	6233	1	dip
55347	7311	1	dip
55347	7314	1	dip
55347	7316	1	dip
55347	84747	1	dip
55347	9094	1	dip
55347	7529	1	dip
55347	7532	1	dip
55347	7533	1	dip
55347	10971	1	dip
55347	7534	1	dip
23568	402	1	dip
23568	403	1	dip
23568	25943	1	dip
23568	112942	1	dip
23568	5147	1	dip
23568	9349	1	dip
23568	6233	1	dip
23568	7311	1	dip
23568	7314	1	dip
23568	7316	1	dip
23568	84747	1	dip
23568	9094	1	dip
23568	7529	1	dip
23568	7532	1	dip
23568	7533	1	dip
23568	10971	1	dip
23568	7534	1	dip
403	25943	1	dip
403	112942	1	dip
403	5147	1	dip
403	9349	1	dip
403	6233	1	dip
403	7311	1	dip
403	7314	1	dip
403	7316	1	dip
403	84747	1	dip
403	9094	1	dip
403	7529	1	dip
403	7532	1	dip
403	7533	1	dip
403	10971	1	dip
403	7534	1	dip
25943	112942	1	dip
25943	5147	1	dip
25943	9349	1	dip
25943	6233	1	dip
25943	7311	1	dip
25943	7314	1	dip
25943	7316	1	dip
25943	84747	1	dip
25943	9094	1	dip
25943	7529	1	dip
25943	7532	1	dip
25943	7533	1	dip
25943	10971	1	dip
25943	7534	1	dip
112942	5147	1	dip
112942	9349	1	dip
112942	6233	1	dip
112942	7311	1	dip
112942	7314	1	dip
112942	7316	1	dip
112942	84747	1	dip
112942	9094	1	dip
112942	7529	1	dip
112942	7532	1	dip
112942	7533	1	dip
112942	10971	1	dip
112942	7534	1	dip
5147	3845	1	dip
5147	6009	1	dip
5147	9349	1	dip
5147	6233	1	dip
5147	7311	1	dip
5147	7314	1	dip
5147	7316	1	dip
5147	84747	1	dip
5147	9094	1	dip
5147	7529	1	dip
5147	7532	1	dip
5147	7533	1	dip
5147	10971	1	dip
5147	7534	1	dip
9349	6233	1	dip
9349	7311	1	dip
9349	7314	1	dip
9349	7316	1	dip
9349	84747	1	dip
9349	9094	1	dip
9349	7529	1	dip
9349	7532	1	dip
9349	7533	1	dip
9349	10971	1	dip
9349	7534	1	dip
9349	4193	1	pid2
9349	7157	1	pid2
9349	6125	2	pid2,wan
9349	6135	2	pid2,wan
9349	1017	1	pid2
9349	10075	1	pid2
9349	1616	1	pid2
9349	6210	1	wan
9349	6133	1	wan
9349	6209	1	wan
9349	6132	1	wan
9349	6205	1	wan
9349	6203	1	wan
9349	6187	1	wan
9349	6136	1	wan
9349	51121	1	wan
9349	6129	1	wan
9349	6130	1	wan
9349	6154	1	wan
9349	6191	1	wan
9349	6143	1	wan
9349	6208	1	wan
9349	6188	1	wan
9349	6128	1	wan
9349	6138	1	wan
9349	6165	1	wan
9349	11224	1	wan
9349	6157	1	wan
9349	6147	1	wan
9349	6168	1	wan
9349	4736	1	wan
9349	6123	1	wan
9349	6228	1	wan
9349	6194	1	wan
9349	6222	1	wan
9349	6124	1	wan
9349	6122	1	wan
9349	9045	1	wan
9349	23521	1	wan
9349	6155	1	wan
9349	6141	1	wan
9349	6224	1	wan
9349	6152	1	wan
9349	25873	1	wan
9349	6217	1	wan
9349	6137	1	wan
9349	6156	1	wan
9349	6160	1	wan
9349	6175	1	wan
9349	6202	1	wan
9349	6193	1	wan
9349	6189	1	wan
9349	6206	1	wan
9349	6134	1	wan
9349	6164	1	wan
9349	6207	1	wan
9349	6181	1	wan
