,AUPRC
EFO_0008354,0.02901658693752818
EFO_0004535,0.034232484510394366
EFO_0010351,0.09311938584466325
EFO_0004338,0.03906494083432046
EFO_0005090,0.03115114548803227
EFO_0007874,0.02749478701789877
EFO_0010701,0.05363990939323773
EFO_0004468,0.04165874891708098
EFO_0007989,0.04347023144724869
EFO_0007991,0.03958806326291384
EFO_0006939,0.03958596475729216
EFO_0004314,0.02770429149080248
EFO_0000341,0.04020925293322294
EFO_0005423,0.025598968891477766
EFO_0004761,0.04112020821151132
EFO_0004682,0.047793208420309756
EFO_0007993,0.040952620620758155
EFO_0006525,0.03663932402049928
EFO_0004570,0.035564745857119905
EFO_0004838,0.031213113527085588
MONDO_0100096,0.039873901072216326
EFO_0007869,0.03200767011143473
EFO_0004631,0.06155597377809188
EFO_0003761,0.03747392317449558
EFO_0007822,0.027149065097693194
EFO_0007990,0.03404658132188166
EFO_0010067,0.03935989593759873
EFO_0005036,0.06215549964887224
EFO_0020865,0.040979121755038095
EFO_0003923,0.04242138069736549
EFO_0006340,0.029674406393502484
EFO_0004741,0.031609128732766514
EFO_0020946,0.10765583485196921
EFO_0004462,0.029714286417017864
EFO_0004703,0.042078327899110875
EFO_0005047,0.033912729875648404
EFO_0010578,0.04984262692764909
MONDO_0005575,0.036737538804203676
HP_0000539,0.03304102493630547
EFO_0007006,0.03684011533947959
EFO_0004627,0.0387694488788219
EFO_0022196,0.036963758142548986
EFO_0007876,0.0649262857076803
EFO_0009695,0.04493535389294528
EFO_0005210,0.044084392254881574
MONDO_0005405,0.03230213798049144
EFO_0003767,0.03367274972288194
EFO_0007629,0.02780004421050567
EFO_0005213,0.04403623917017005
EFO_0004344,0.03511469952924306
EFO_0009718,0.04112505761763021
EFO_0004568,0.03835563381583537
EFO_0004617,0.03808914778318678
EFO_0000384,0.037551149778376355
EFO_0006312,0.039568466822063754
EFO_0007800,0.03586207799412837
MONDO_0005301,0.03178539990942389
EFO_0005055,0.037948119748538796
EFO_0009931,0.04734537414820899
EFO_0004536,0.04104985649407366
GO_0006306,0.03316215063904857
EFO_0004705,0.035655815124894234
EFO_0008446,0.03158244499466178
EFO_0004704,0.04344918141042768
EFO_0009924,0.048465846400880766
MONDO_0004985,0.050461783192768846
EFO_0000612,0.039005400715103736
MONDO_0004892,0.04969263340766534
EFO_0007005,0.03186694975942962
EFO_0600088,0.03029290601699828
EFO_0004995,0.04444106894547061
EFO_0000319,0.04002718848129044
EFO_0007885,0.041080840213090386
EFO_0009819,0.028092131402142003
MONDO_0005147,0.04792003652665662
EFO_0004193,0.044768847506245504
EFO_0009749,0.03468711214138232
EFO_0004765,0.04277734156743929
EFO_0000274,0.0522367005577566
EFO_0009933,0.04591793427843653
EFO_0010972,0.04443052797086586
EFO_0008002,0.04074633414388587
HP_0000964,0.03106414356045319
EFO_0000731,0.06596752332520657
EFO_0010934,0.03284476213132874
EFO_0007992,0.045416888673072524
EFO_1001486,0.05007167231780671
EFO_0004318,0.0469001104581691
EFO_0009927,0.045862068093043454
EFO_0000676,0.04678933683041265
EFO_0010724,0.046504210577342234
EFO_0007997,0.042286987029431726
MONDO_0005271,0.04373177470503666
EFO_0000195,0.07935223147532845
EFO_0010554,0.049082088958728794
EFO_0003095,0.0438503721827656
EFO_0007996,0.0449309343095549
EFO_0007987,0.06192271643870448
EFO_0010638,0.038087356026025025
EFO_0008447,0.06570253030711054
EFO_0007994,0.04763283652952742
