,AUPRC
"Tuberculosis, Pulmonary",0.0795219553941899
Chronic myeloproliferative disorder,0.08190010979615012
Dengue Fever,0.08995847648142535
Myeloid Leukemia,0.09595200414718252
Malignant neoplasm of larynx,0.06528618051659742
"Lymphoma, T-Cell, Cutaneous",0.12046330169355014
Pulmonary Emphysema,0.08344823238912491
"B-CELL MALIGNANCY, LOW-GRADE",0.09636327635836889
Malignant mesothelioma,0.10229750230872509
Metastasis from malignant tumor of prostate,0.07432867538672767
Mucocutaneous Lymph Node Syndrome,0.08602250072683672
Miscarriage,0.07762691836453438
"Alzheimer Disease, Late Onset",0.06407483421764536
Intervertebral Disc Degeneration,0.07389251879455444
Pheochromocytoma,0.09564429778828556
Childhood Kidney Wilms Tumor,0.08454652672051155
Childhood Myelodysplastic Syndrome,0.07548033558995024
Infection caused by Helicobacter pylori,0.07820040705992387
Refractory anemias,0.0729289981010603
Adult Myelodysplastic Syndrome,0.07536476442967198
"Ovarian Failure, Premature",0.054588428332092154
Medullary carcinoma of thyroid,0.09540975385522872
Status Epilepticus,0.0855067207382076
"Osteoarthritis, Knee",0.07573667485838725
Gastrointestinal Carcinoid Tumor,0.10474167239348751
Epithelioma,0.07285743222386158
Familial multiple trichoepitheliomata,0.07223754604906024
Adenocarcinoma of prostate,0.05950810222265246
Pulmonary arterial hypertension,0.06998971587482516
Aortic Valve Insufficiency,0.09075197443511246
Primary Sjögren's syndrome,0.10866752575942201
Immune thrombocytopenic purpura,0.08656762095137262
Spinal Muscular Atrophy,0.06934237589028724
Glomerulonephritis,0.07322854706013493
Transitional cell carcinoma of bladder,0.10144957664333201
Neurofibromatosis 1,0.09354197900829489
"Epilepsy, Temporal Lobe",0.07450344858280657
Scleroderma,0.08045762736849804
Frontotemporal dementia,0.04935452133184898
Intraocular pressure disorder,0.05012204808715585
Patent ductus arteriosus,0.0687814682180002
Vitiligo,0.07363276391880735
VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),0.07432221625346774
Adenocarcinoma of large intestine,0.08481652899681455
Blast Phase,0.06858845981084172
Acute GVH disease,0.07149978539526311
Hypoglycemia,0.0727659597223499
Myasthenia Gravis,0.08653553767574866
synovial sarcoma,0.057510168959286866
Ki-1+ Anaplastic Large Cell Lymphoma,0.11472040866333492
Cardiac fibrosis,0.07890927842939029
Seminoma,0.07538050338684343
Neutropenia,0.05985469581499707
Adrenoleukodystrophy,0.05731215279215099
Acute Erythroblastic Leukemia,0.07117670590934363
HER2-positive carcinoma of breast,0.09979537523391263
"Carcinoma of urinary bladder, invasive",0.07946728456142156
Juvenile arthritis,0.11180669188513821
Eosinophilia,0.07831769960605876
Follicular thyroid carcinoma,0.07151255703812685
Classical Hodgkin's Lymphoma,0.09094829342775017
Encephalitis,0.07293904547749142
Hypothyroidism,0.06625370770005569
Polycythemia Vera,0.08430059231593293
Tuberous Sclerosis,0.05991786958872261
Thymoma,0.06819824583044348
Hirschsprung Disease,0.06346420870822995
Left Ventricular Hypertrophy,0.05900568105860742
Cholestasis,0.045325341611201865
Primary cholangiocarcinoma of intrahepatic biliary tract,0.0740769024123685
"Encephalitis, St. Louis",0.07716550316612186
"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",0.06704957458139744
"Polycystic Kidney, Autosomal Dominant",0.06978148910698506
Germ cell tumor,0.08159581418173825
Lymphoid leukemia,0.06225447040335708
"Hamartoma Syndrome, Multiple",0.05537600976352283
Gastritis,0.08060426674808067
Severe Combined Immunodeficiency,0.09982162419304685
Intracranial Aneurysm,0.07419737341170606
Myocarditis,0.07113408747214804
Well Differentiated Oligodendroglioma,0.06279821175307969
Adrenocortical carcinoma,0.06597195178716246
ST segment elevation myocardial infarction,0.06763912822727342
Refractory Cytopenia of Childhood,0.06194150066752373
oligodendroglioma,0.06538616503116149
Primary Myelofibrosis,0.07522287905792188
Malignant neoplasm of brain,0.08157257185016059
TARSAL-CARPAL COALITION SYNDROME,0.06853247209739893
Gonorrhea,0.07262179422347327
Premature Menopause,0.05094711732809458
Malignant Peripheral Nerve Sheath Tumor,0.10173255506417368
Clear-cell metastatic renal cell carcinoma,0.05125309202392746
Giant Cell Arteritis,0.08613530225424934
"Cleft palate, isolated",0.05391061482325286
Mucosa-Associated Lymphoid Tissue Lymphoma,0.0801752032851777
Promyelocytic leukemia,0.055060656765447046
Alopecia,0.042109682171128836
Papilloma,0.07356482537354302
insulinoma,0.0525705199899531
Atherosclerotic lesion,0.04988116791846456
Nephritis,0.07634523225067902
Hereditary hemochromatosis,0.05431710183367345
Melanocytic nevus,0.0483648147909801
"Lichen Planus, Oral",0.0933868312090081
Primary sclerosing cholangitis,0.051462382291869925
Vasculitis,0.06024029355377027
Cone-Rod Dystrophy 2,0.034976535285282495
Sensorineural Hearing Loss (disorder),0.03656556605874234
Malignant neoplasm of testis,0.04011039346819636
Focal glomerulosclerosis,0.06839025801409226
Androgen-Insensitivity Syndrome,0.06219173620597817
Basal-Like Breast Carcinoma,0.0746613653145155
Senile Plaques,0.0583544205947893
Kidney Neoplasm,0.047530360982045654
Differentiated Thyroid Gland Carcinoma,0.05162732351270225
Superficial ulcer,0.06676620601830331
Chronic graft-versus-host disease,0.06420428031372338
"PARKINSON DISEASE, LATE-ONSET",0.03939334405202586
Ductal Carcinoma,0.06663979635515342
MIXED LINEAGE LEUKEMIA,0.09730340221031597
"Leukoencephalopathy, Progressive Multifocal",0.06425934817431522
Lewy Body Disease,0.0819480184317187
Muscular Dystrophy,0.05441314801649866
Erythroleukemia (Erythroid/Myeloid),0.05708179007536533
Eclampsia,0.10293923203249435
Adult Erythroleukemia,0.061357067311519256
"Liver Failure, Acute",0.06750387845040824
Iron Overload,0.057610439417731384
bone destruction,0.05558485102469932
Psoriasis vulgaris,0.05966699129587706
Adult Classical Hodgkin Lymphoma,0.08933561243869917
"Leukemia, B-Cell",0.06758152322251713
Familial lichen amyloidosis,0.058458779015749085
Aortic Aneurysm,0.055459328418992676
PATENT DUCTUS ARTERIOSUS 1,0.06860506231761507
Rett Syndrome,0.06571535588313714
Bacteremia,0.06433408447454618
Ependymoma,0.0593901199300776
Dermatomyositis,0.05977589678585083
Hyperhomocysteinemia,0.07645752212357115
Adenoid Cystic Carcinoma,0.059899831097189465
Chronic heart failure,0.059862242998480364
MRSA - Methicillin resistant Staphylococcus aureus infection,0.03063623091853101
Merkel cell carcinoma,0.06709696176907727
Monoclonal Gammopathy of Undetermined Significance,0.07128125057808182
Borderline Personality Disorder,0.04680727359169565
Adult type dermatomyositis,0.058047258873102255
Pseudohyperkalemia Cardiff,0.05963055638269618
Hypertrophic obstructive cardiomyopathy,0.06324636662750774
Deep Vein Thrombosis,0.07698220111354764
Aplastic Anemia,0.08255695972685503
Childhood Acute Myeloid Leukemia,0.04791861217663703
Prostatic Intraepithelial Neoplasias,0.07162159511181782
"Carcinoma, Endometrioid",0.045818149187655595
"Alzheimer disease, familial, type 3",0.06283862182422441
Cyst,0.053175965254774485
"Thrombocythemia, Essential",0.08581879878503357
Carotid Atherosclerosis,0.04776189363115417
Central Serous Chorioretinopathy,0.09288984831689846
