,AUPRC
EFO_0008354,0.047258205231243425
EFO_0004535,0.04613738147934843
EFO_0004338,0.04577467054003936
EFO_0005090,0.044285230433385836
EFO_0007874,0.0406961759953173
EFO_0010701,0.06331830683065066
EFO_0004468,0.04776712836109146
EFO_0007989,0.04226999082648021
EFO_0007991,0.058401931741971745
EFO_0006939,0.04230480522368026
EFO_0004314,0.03613319140340778
EFO_0000341,0.03805767378217777
EFO_0005423,0.031032321501681445
EFO_0004761,0.03626989306520076
EFO_0004682,0.05379412475295716
EFO_0007993,0.051326880219261656
EFO_0006525,0.04976757040814334
EFO_0004570,0.046854687967166776
EFO_0004838,0.032301303980963224
MONDO_0100096,0.03430148939628029
EFO_0007869,0.041815878862140235
EFO_0004631,0.06529287673269739
EFO_0003761,0.05534765803310405
EFO_0007822,0.03367183130725157
EFO_0007990,0.055695400694695356
EFO_0010067,0.04833855719222804
EFO_0005036,0.04166867119601795
EFO_0020865,0.03755554304217154
EFO_0003923,0.07396673532936483
EFO_0006340,0.03765069457453911
EFO_0004741,0.034533571040437076
EFO_0020946,0.07446251406247527
EFO_0004462,0.04660362959717788
EFO_0004703,0.03586396562333779
EFO_0010578,0.03825806777772574
MONDO_0005575,0.0627774633407923
HP_0000539,0.033982208238328176
EFO_0007006,0.04991044150999455
EFO_0004627,0.04241765739991016
EFO_0022196,0.04495276860036576
EFO_0007876,0.04460441140335127
EFO_0009695,0.07607838309889825
EFO_0005210,0.03597523385978933
MONDO_0005405,0.05121680012830848
EFO_0003767,0.04195635340044606
EFO_0007629,0.03879095251471652
EFO_0005213,0.04892247525746097
EFO_0004344,0.05483979600485787
EFO_0009718,0.04954185520785937
EFO_0004568,0.05895466050049702
EFO_0004617,0.05963662980226062
MONDO_0004975,0.05702413719047311
EFO_0004465,0.06894343675350649
EFO_0004748,0.05227238567347691
EFO_0000384,0.04803266123154556
EFO_0006312,0.0333564265712398
EFO_0007800,0.04453583804342786
MONDO_0005301,0.048036985117523044
EFO_0005055,0.053329710406330284
EFO_0009931,0.04752701012218858
EFO_0004536,0.04592382307741825
GO_0006306,0.046475958846124696
EFO_0004705,0.04248963138465715
EFO_0008446,0.04243449491327594
EFO_0004704,0.06344177563037387
EFO_0009924,0.05538311820963887
EFO_0000612,0.06011016303274915
MONDO_0004892,0.042573946194912046
EFO_0007005,0.0601703064336004
EFO_0600088,0.03863315009852698
EFO_0004995,0.05477656838062785
EFO_0000319,0.0397273590458406
EFO_0007885,0.07202102800588758
EFO_0009819,0.038680930823834295
MONDO_0005147,0.05695373264726245
EFO_0009749,0.050928712118936445
EFO_0000274,0.060909782014686886
EFO_0009933,0.055188673553339666
EFO_0010972,0.04684900556955603
EFO_0000729,0.060746219988458174
HP_0000964,0.045242033748574266
EFO_0007992,0.046277954297953165
EFO_0009927,0.043508243702598655
EFO_0007997,0.0460013877048058
MONDO_0005271,0.05267498806086834
EFO_0010554,0.04926260800426688
EFO_0007996,0.062013721519861814
EFO_0010638,0.050026699740313416
EFO_0007994,0.07891894012025508
EFO_0000684,0.05150622766542751
