	entrezgene	mean	bases	median	transcript_count
161	100287284	0.2967898748778103	1023.0	0.173	1
162	100287327	-0.017095	1593.0	0.303	1
163	100287364	-0.002423	1593.0	0.301	1
164	100287399	-0.229805286238532	1635.0	-0.037	1
165	100287404	0.050551	1593.0	0.299	1
166	100287441	0.014293	1593.0	0.303	1
167	100287478	0.0457819999999999	1593.0	0.299	1
168	100287482	0.573802696969697	198.0	1.015	1
169	100287513	0.02905	1593.0	0.303	1
170	100287520	-0.1162059306930693	909.0	-0.0645	1
171	100287718	0.5687476937394247	591.0	1.026	1
172	100287898	0.2863810592298648	2470.5	0.20825	2
173	100287932	0.7998526063492064	630.0	1.048	1
174	100288072	0.4017033810453204	1408.5	0.5555	2
175	100288142	-0.2175030182180862	12847.5	0.163	2
176	100288287	-0.021232	138.0	0.078	1
177	100288323	0.036706	177.0	0.063	1
178	100288332	-0.08374385693797083	902.0	0.2896666666666667	3
179	100288413	0.180255	1692.0	0.495	2
180	100288520	-0.01151	1662.0	0.301	1
181	100288687	-0.04167926086956515	1076.25	0.16	4
182	100288695	0.6752847865213882	775.5	0.9695	2
183	100288797	0.5275014158163265	523.5	1.026	2
184	100288801	-0.0289646489361702	847.5	0.332	2
185	100288814	-0.0072089999999999	645.0	-0.047	1
186	100288842	0.5118185585585585	985.0	0.311	3
187	100289087	-0.0983240235148922	906.0	0.165	2
188	100289187	0.4418468603603603	666.0	0.877	2
189	100289255	0.321654	240.0	0.2835	1
190	100289279	0.4150168375084631	1477.0	0.214	1
191	100289462	-0.3303433589743589	195.0	-0.169	1
192	100289470	-0.307338988700565	1062.0	-0.246	1
193	100289635	0.5590902254030634	1972.5	0.962	2
194	100289678	0.4355552918951858	1641.0	0.282	1
195	100293516	-0.30260241524881987	1670.0	-0.10366666666666667	3
196	1003	0.5481275532719605	1650.75	1.026	4
197	100302736	0.7318810757201646	891.0	1.0425	2
198	100303755	0.8253214390243901	246.0	1.138	1
199	100310812	-0.07515998281336987	1065.0	0.20133333333333334	3
200	100310846	0.479838383452665	1257.0	1.015	1
201	100316904	0.260842024235645	698.0	0.20066666666666666	3
202	100329135	0.23196399999999998	336.0	0.20000000000000004	3
203	10036	0.3760173005921282	2871.0	1.014	1
204	10038	0.7178084858676251	1687.0	1.1206666666666667	3
205	100381270	0.8324839999999999	2940.0	1.138	1
206	10039	0.5511199712858926	1602.0	1.026	5
207	1004	0.8227083587703621	2100.0	1.1280000000000001	2
208	10040	0.6790390450305808	1174.875	1.05325	8
209	100419008	-0.2043711311216429	633.0	-0.043	1
210	100419780	-0.2234341298701298	1155.0	0.41	1
211	10042	0.8083210825027686	1806.0	1.026	1
212	100421372	0.8675278600368325	1086.0	1.138	1
213	100423062	-0.10264495996746097	516.0	-0.015833333333333335	3
214	10043	0.6829631561004894	1422.0	1.03175	4
215	100431172	0.1794920032051282	624.0	0.611	1
216	10044	0.7028134106509515	2134.5	1.0635000000000001	6
217	10045	0.3319545326621739	1591.5	0.20224999999999999	2
218	10046	0.5024259517717306	2438.625	0.947	8
219	10047	0.2878670839160839	429.0	0.154	1
220	10048	0.8441844223744293	2190.0	1.138	1
221	10049	0.45147923878819307	837.0	0.86975	4
222	100499483	0.4273808984720547	4974.0	0.3175	1
223	1005	0.7889717401461661	2203.0	1.138	3
224	10050	0.4670071188929894	1164.0	0.49266666666666664	3
225	100500938	0.2152562318840579	207.0	0.197	1
226	100505385	0.8340242736505672	1651.5	1.072	2
227	100505478	0.15455630093959066	265.5	0.14425	2
228	100505573	0.648656	462.0	0.928	1
229	100505576	0.889282	78.0	1.138	1
230	100505591	0.5539216980676328	828.0	1.022	1
231	100505724	0.188596	510.0	0.6385	1
232	100505741	0.6958480710506424	1323.0	1.117	1
233	100505753	0.4141399999999999	1554.0	0.3045	1
234	100505767	-0.1675448319169027	1059.0	0.285	1
235	100505841	0.781595492053943	255.0	1.138	2
236	100505876	0.6379547037037038	243.0	1.138	5
237	100505989	0.5170695185185186	216.0	1.026	2
238	100505993	0.3337813783783784	444.0	0.2445	1
239	100506013	0.5275210303030303	165.0	0.953	2
240	100506049	0.5416123171296297	864.0	1.025	1
241	100506084	0.27370492991364054	388.5	0.13449999999999998	6
242	100506127	0.6612630799580971	651.5	1.0013333333333334	6
243	100506144	0.488257952688172	465.0	0.933	1
244	100506164	0.0006604811320754	1272.0	-0.105	1
245	100506243	0.2062299948320413	387.0	0.114	2
246	100506374	0.3430000061728395	486.0	0.229	1
247	100506540	0.7468456101332415	165.6	1.1148	5
248	100506564	0.2182740028612303	1398.0	0.2	1
249	100506581	0.07920605347367804	543.0	0.05399999999999999	3
250	100506658	0.6910698197504186	1384.2	1.0283	10
251	100506736	-0.28320703912028633	1776.0	0.010499999999999999	2
252	100506742	0.23208022193771288	743.1	0.18225	10
253	100507003	0.2421954059087989	1557.0	0.129	2
254	100507027	0.751262	141.0	1.138	2
255	100507043	0.7092846181818182	157.2	1.138	5
256	100507050	0.6294529999999999	1149.0	0.934	1
257	100507055	0.0272646	480.0	0.039	1
258	100507096	0.476854866972477	654.0	0.23	2
259	100507170	-0.2082250103806228	867.0	-0.156	1
260	100507203	0.2100988148148148	324.0	0.169	1
261	100507290	0.54884	3180.0	0.958	1
262	100507341	0.81083	288.0	1.071	1
263	100507421	0.9512962960451978	885.0	1.138	1
264	100507436	-0.4338465935488074	764.0	-0.09866666666666667	3
265	100507537	0.6432965	108.0	1.026	1
266	100507588	0.3510013542414543	1018.5	0.797	2
267	100507607	-0.2269133508474576	1180.0	0.093	1
268	100507608	0.110814	483.0	0.109	1
269	100507650	0.6509436395348837	686.0	0.9093333333333334	3
270	100507679	-0.7191339597895527	5322.0	-0.402	1
271	100507747	0.025705627543036	639.0	0.093	1
272	100509620	0.17608016433168452	709.125	0.41912499999999997	8
273	10051	0.8461428456579532	3804.75	1.138	4
274	10052	0.84268	1191.0	1.126	3
275	100526664	0.6437816430035391	5538.0	1.026	2
276	100526693	0.6926640223642172	1878.0	1.026	1
277	100526694	0.9000886910331384	1026.0	1.138	1
278	100526737	0.982772149719888	688.5	1.138	2
279	100526739	0.469478251304671	345.6	0.5356	5
280	100526740	0.4190105973333333	2250.0	0.225	1
281	100526760	0.6441909797385621	1530.0	1.026	1
282	100526761	0.3831131888667991	1509.0	0.206	1
283	100526767	0.8069300211640211	756.0	1.138	1
284	100526771	0.6702829496124031	258.0	0.951	2
285	100526772	0.7887569848078643	1119.0	1.026	1
286	100526773	0.15169490103485836	550.5	0.1795	2
287	100526783	0.6633763805907172	1185.0	1.055	1
288	100526794	0.5416505793255942	1809.0	1.083	1
289	100526825	0.2065632370892018	426.0	0.148	1
290	100526835	0.730910325120231	1973.25	1.138	4
291	100526836	0.7042554452554745	411.0	1.026	1
292	100526842	0.7374730884069899	630.0	1.071	2
293	100527943	0.856034076923077	468.0	1.138	1
294	100527949	0.099966677734375	1536.0	0.135	1
295	100527963	0.4796089378550024	564.0	0.46775	4
296	100527978	0.5303168745874588	606.0	1.018	1
297	100528016	0.7829360352564103	312.0	1.026	1
298	100528017	0.2076043429027113	627.0	0.157	1
299	100528018	0.8218010321637427	342.0	1.138	1
300	100528019	0.8042947395264117	549.0	1.138	1
301	100528020	0.553722	1242.0	1.026	1
302	100528021	0.5666760462962963	540.0	1.008	2
303	100528030	0.6901873875094207	928.5	1.026	2
304	100528062	0.540571	1644.0	1.026	1
305	100528064	0.7655256882352941	510.0	1.138	1
306	100529063	0.9448110624234228	1034.0	1.138	3
307	100529097	0.8497446244343891	295.5	1.1509999999999998	2
308	100529144	0.5480905357483318	3147.0	1.019	1
309	100529145	0.4219111182795699	372.0	0.2795	1
310	100529209	0.8592641455064194	701.0	1.026	1
311	100529215	0.3424739336875246	664.5	0.7070000000000001	2
312	100529239	0.8443618493150683	876.0	1.131	2
313	100529240	-0.1621626068376068	702.0	-0.163	1
314	100529241	0.9810674160305344	786.0	1.138	1
315	100529251	0.4031021016936034	329.25	0.422	4
316	100529257	0.7851128524590165	549.0	1.118	1
317	100529261	0.7912832874293786	1416.0	1.134	1
318	10053	0.6776818867887618	1275.0	1.079	2
319	100532724	0.7541694353741497	1911.0	1.118	1
320	100532726	0.2870240757055137	303.0	0.7581249999999999	4
321	100532731	0.9336950255319147	1410.0	1.138	1
322	100532732	0.7195191697965571	2556.0	1.026	1
323	100532735	0.7278947692307693	1092.0	1.135	1
324	100532737	0.6421136666666666	300.0	1.026	1
325	100532746	0.732091729580574	906.0	1.138	1
326	100533105	0.919095345405768	1491.0	1.138	1
327	100533106	0.5068634459613197	879.0	0.248	1
328	100533107	0.4754003901611536	2358.0	1.022	1
329	100533111	0.081091806763285	414.0	0.406	1
330	100533177	0.318643	1026.0	0.202	1
331	100533179	0.91537125	396.0	1.138	1
332	100533181	0.6286546754450208	387.0	1.026	2
333	100533184	0.7672270566280566	1554.0	1.129	1
334	100533195	0.5076124088200239	839.0	1.026	1
335	100533464	-0.3058027878787878	528.0	-0.2105	1
336	100533467	0.5734913914069877	4579.5	1.0485	2
337	100533496	0.7547251575757574	495.0	1.112	1
338	100533952	0.33861605164893105	537.0	0.34875	2
339	100533970	0.4116381347190146	1299.0	0.958	1
340	100534592	0.6699218468468469	333.0	0.952	1
341	100534593	0.6590703890339425	1149.0	1.138	1
342	100534595	0.8616350459616242	2241.0	1.138	1
343	100534599	0.7362970230923696	996.0	1.028	1
344	100534612	0.7540093520467835	855.0	1.045	1
345	10054	0.8618752145817283	1353.0	1.1246666666666667	3
346	10055	0.7740668291060352	885.0	1.138	4
347	10056	0.8014140604519774	1770.0	1.118	1
348	10057	0.7636083463725098	1777.0	1.0976666666666668	6
349	10058	0.6904950903184293	2460.0	1.026	2
350	10059	0.9266830340586536	1997.6	1.1380000000000001	15
351	1006	0.8316688758355495	2118.0	1.138	4
352	10060	0.7301634172304978	2417.3	1.1176	10
353	10061	0.887879764957265	1872.0	1.138	1
354	10062	0.7621007225589761	1212.0	1.1245555555555553	9
355	10063	0.6655137445987654	227.0	1.022	3
356	100631383	0.2078067850378787	1056.0	0.173	1
357	100652748	0.7529213605013321	495.0	1.1285	2
358	100652824	0.4382430778341792	3546.0	0.291	1
359	100653515	-0.1238942379421221	1866.0	-0.056	1
360	10066	0.7596192090909091	990.0	1.134	1
361	10067	0.7914032389630843	871.9090909090909	1.1343636363636362	11
362	10068	0.3460062626363342	498.0	0.1996111111111111	9
363	10069	0.6615727718750001	960.0	1.026	1
364	1007	0.758195405485232	2370.0	1.118	1
365	10071	-0.6647402460925669	16222.5	-0.3465	2
366	10072	0.701379178973575	2205.75	1.026	4
367	10073	0.7072122243767313	1083.0	1.026	4
368	10075	0.9123388277294228	13064.25	1.138	4
369	10076	0.7770484688792437	4319.25	1.137	4
370	10077	0.15992712741193785	863.25	0.13624999999999998	4
371	10078	0.23067009691220236	790.5	0.186	4
372	10079	0.7628144454404937	2940.0	1.134	2
373	1008	0.7896549125475285	2367.0	1.118	1
374	10081	0.6747442764060356	1458.0	0.925	1
375	10082	0.806205567146283	1668.0	1.138	1
376	100820829	0.727418207437654	1297.0	1.1073333333333333	3
377	10083	0.7508849002233471	1881.75	1.054	4
378	10084	0.7595039535876729	667.0	1.064	9
379	10085	0.8045577667765758	1428.0	1.138	2
380	10086	0.3521244616051572	1650.0	0.224	2
381	100861412	0.9309090488888888	900.0	1.138	1
382	100861540	0.2109541616619284	1560.0	0.699	2
383	100862671	0.7542323944954129	327.0	1.138	1
384	10087	0.8891947479276084	1769.357142857143	1.138	14
385	100874261	0.12121282741617351	507.0	0.0065	2
386	100885848	0.7700312513103934	400.0	1.0119999999999998	3
387	100885850	0.7394354939233543	1582.5	1.026	4
388	10089	0.4130500170176413	804.0	0.25875000000000004	4
389	1009	0.7929637124783363	2162.0	1.138	3
390	10090	0.8495912219492219	1221.0	1.133	1
391	10092	0.8737941899045129	443.0	1.138	3
392	10093	0.8918832965336886	436.0	1.134	3
393	10094	0.8718732681564245	537.0	1.109	1
394	10095	0.7006115691778176	1112.3333333333333	1.1104444444444446	9
395	10096	0.9679912596724183	822.0	1.1353333333333333	3
396	10097	0.9463762428955698	1192.5	1.134	2
397	10098	0.9598087658555818	700.5	1.138	2
398	10099	0.8493212659299627	465.0	1.134	6
399	100996331	-0.2986503449541284	1635.0	-0.041	1
400	100996492	0.8519329999999999	180.0	1.109	1
401	100996521	0.684113	168.0	1.138	1
402	100996631	0.3835049960238568	1509.0	0.785	1
403	100996648	0.3894547395626242	1509.0	0.237	1
404	100996693	0.6181019958158995	717.0	1.016	1
405	100996717	0.6332512226862614	768.0	1.014	3
406	100996746	-0.1102607669172932	798.0	0.261	1
407	100996758	0.502054	1128.0	0.94	2
408	100996763	0.63737472	750.0	0.9675	1
409	100996928	0.9352897893972404	1377.0	1.138	1
410	100996939	0.3415041043478261	345.0	0.1	1
411	101	0.14756802897980328	2302.0	0.14716666666666667	3
412	1010	0.8013290926374831	2345.0	1.138	3
413	10100	0.7916474222572827	628.5	1.034	2
414	10101	0.4365998903903643	650.25	1.0190000000000001	4
415	10102	0.5930131031228586	744.5	1.0778333333333332	6
416	10103	0.5323361652892562	726.0	1.134	1
417	10105	0.6839901842948718	624.0	1.138	1
418	101059915	-0.1309815507236085	1389.0	-0.0295	2
419	101059918	-0.4303781661392406	1896.0	-0.1405	1
420	101059938	-0.1037197296803653	1095.0	0.09	1
421	101059948	0.1964457800995025	1005.0	0.174	1
422	101059953	-0.4002064675675676	1110.0	0.205	2
423	10106	0.8669610947497853	491.0	1.138	3
424	101060200	0.38487483727990285	1641.0	0.81	2
425	101060211	-0.4452402192982456	570.0	-0.081	2
426	101060226	-0.4726041437760363	3654.75	-0.07100000000000001	4
427	101060233	0.5024848228310502	1095.0	0.918	1
428	101060301	0.001848	882.0	0.25	1
429	101060321	-0.2270842218181818	1650.0	0.2585	1
430	101060351	-0.2145920248484848	1650.0	0.216	1
431	101060376	-0.2127556284848484	1650.0	0.251	2
432	101060389	-0.2328356606060606	1650.0	0.302	1
433	101060684	-0.507778713979721	3311.75	-0.270625	4
434	10107	0.4260666522887938	1317.0	0.917	2
435	10109	0.9684420487264674	903.0	1.138	2
436	10110	0.7521962675338069	894.5	1.135	6
437	10111	0.8632161513074385	3939.0	1.138	1
438	10112	0.7546230658725476	2646.0	1.06	2
439	10113	0.7019693859937091	1167.0	1.026	2
440	10114	0.7939469889198759	3600.75	1.118	4
441	10116	0.8204364798301487	1884.0	1.138	1
442	10117	0.367611568678915	3429.0	0.225	1
443	101180976	0.036134181812845	364.6666666666667	0.007666666666666666	3
444	1012	0.7170405825818565	1292.5	1.082	6
445	10120	0.7777257807250221	1131.0	1.137	1
446	10121	0.8571807905850147	1065.0	1.138	2
447	10123	1.0024986353135312	592.5	1.127	2
448	10124	0.9356300000000001	603.0	1.138	6
449	10125	0.8059152248918308	2204.076923076923	1.138	13
450	10126	0.9036576477987421	262.5	1.138	2
451	10127	0.6723872486091721	1366.7142857142858	1.026	7
452	10128	0.5680221964507726	3618.176470588235	1.026	17
453	10129	0.7923399333490613	9040.5	1.138	4
454	1013	0.3654576122699386	2445.0	0.876	1
455	10130	0.6593121262569683	1400.0	1.026	6
456	10131	0.5670267100774248	1853.0	1.026	3
457	10133	0.5993233374307353	1728.0	1.026	6
458	10134	0.6794348757839437	765.0	1.109	4
459	10135	0.872857431377287	1010.8333333333334	1.1379444444444442	18
460	10136	0.3865275694956949	813.0	0.923	1
461	10137	0.915361	2799.0	1.138	3
462	10138	0.8601816702614576	482.25	1.1099999999999999	4
463	10139	0.6668445232805793	519.4285714285714	1.0408571428571427	7
464	1014	0.49929518706456744	2347.2	1.026	5
465	10140	0.974894	1038.0	1.138	2
466	101410538	0.274986	216.0	0.374	2
467	10142	0.6631578448404868	11250.23076923077	1.026	13
468	10143	0.6586064887644562	607.5	1.138	2
469	10144	0.6002480717328276	1813.875	0.98875	8
470	10146	0.8343461411671257	1243.6	1.0974666666666666	15
471	10147	0.5765712198535669	3259.5	0.947	4
472	10148	0.2812233231884057	690.0	0.249	1
473	10149	0.7063500602977625	2934.6	1.138	10
474	1015	0.4765799228124985	2247.0	0.7886666666666667	3
475	10150	0.973013186151755	1124.5714285714287	1.138	7
476	10152	0.925958877184723	1490.5	1.138	6
477	10153	0.6970330420221169	3165.0	1.138	1
478	10154	0.8572128163287477	2493.0	1.138	3
479	10155	0.709790667561945	2385.0	1.0775000000000001	2
480	10156	0.6045849164982485	2269.5	0.977	4
481	10157	0.6685102515005004	2013.0	1.026	6
482	10158	0.5299274115942029	345.0	1.022	2
483	10159	0.8277302447766496	886.8461538461538	1.138	13
484	1016	0.8278039835322671	2057.5	1.138	6
485	10160	0.5945479264415044	2479.2	0.7411999999999999	5
486	10161	0.8273420000000001	1035.0	1.138	3
487	10162	0.7833455327868853	1464.0	1.138	1
488	10163	0.8769090141038577	1171.5	1.1335	2
489	10164	0.430956	1161.0	1.022	2
490	10165	0.8144809633029026	2029.5	1.138	2
491	10166	0.636079394039735	906.0	1.049	2
492	101669762	0.890873	102.0	1.138	3
493	10168	0.6960420105467807	1947.0	1.0095	4
494	10169	1.0101151671079465	239.7	1.144	10
495	1017	0.9137311245520081	862.5	1.12	4
496	10170	0.7066360947862	927.375	1.04	8
497	10171	0.7878618018667063	665.0	1.1193333333333333	6
498	10172	0.0209098950720751	1027.5	0.016	2
499	101730217	0.798285994883041	2736.0	1.138	1
500	10174	0.5752350309659091	1503.0	1.026	2
501	10175	0.9481302962625848	397.2	1.138	5
502	10178	0.8846759383615086	8188.5	1.138	2
503	10179	0.7153792874671254	631.8	1.0417999999999998	5
504	1018	0.6876623605664488	918.0	1.134	2
505	10180	0.7977761488437234	2064.0	1.1318	5
506	10181	0.9212871644880174	1440.0	1.15	2
507	10184	0.7460378981077146	687.0	1.026	2
508	10186	0.6995160530679934	603.0	1.026	1
509	10188	0.6812881945742428	3005.4	1.0238999999999998	10
510	10189	0.6273963295597484	795.0	1.01	1
511	1019	0.8225600291620819	457.0	1.082	3
512	10190	0.7798304448861669	539.0	1.135	3
513	101927367	0.560613	282.0	1.026	1
514	101927423	0.03444	648.0	0.004	1
515	101927581	0.4945300000000001	462.0	1.026	1
516	101927685	-0.1795639670658682	1002.0	-0.222	1
517	101928108	-0.061630623501199	417.0	0.043	1
518	101928147	0.514242	756.0	1.026	1
519	101928527	0.612945	165.0	1.022	2
520	101928601	0.552492322970639	1158.0	0.324	3
521	101928603	0.2107649177489177	693.0	0.207	1
522	101928677	0.045756	180.0	-0.092	2
523	101928917	-0.129522871257485	1002.0	-0.231	1
524	101928991	0.6760653854166666	768.0	0.943	1
525	101929355	0.18131598266732527	366.0	0.08066666666666666	3
526	101929469	0.2704042276688453	918.0	0.224	1
527	101929726	0.509243	255.0	0.324	2
528	101929796	0.6187284184141737	882.0	0.9695	2
529	101929926	0.15973647195731075	550.5	0.1295	6
530	101929983	-0.2248795650661099	1437.0	-0.064	1
531	101929989	0.09758585850492518	199.0	0.09800000000000002	3
532	10193	0.9103548567422811	841.8	1.1142	5
533	10194	0.5955380086580087	3166.5	1.026	2
534	10195	0.7483477127303328	1229.0	1.138	3
535	10196	0.8038132181784248	1503.0	1.134	2
536	10197	0.9747163294023483	707.0	1.1143333333333334	6
537	10198	0.6498416309760802	3507.0	1.02	2
538	10199	0.6177311072740593	1687.0	1.0196666666666667	3
539	102	0.8545301770742992	690.0	0.9062499999999999	4
540	1020	0.8590725517677261	831.0	1.136	2
541	10200	0.7503459855360018	349.0	1.1006666666666665	3
542	10201	0.775758929957965	464.53846153846155	1.1035384615384616	13
543	10202	0.25718469407366246	883.0	0.249	3
544	10203	0.7623109769119769	1386.0	1.138	3
