Entrez_A	Entrez_B	ID
57410	60	427
60	6418	428
60	80143	429
5250	60	430
60	6595	431
60	6597	432
60	6598	433
60	6599	434
60	6601	435
60	6602	436
60	6603	437
60	6605	438
60	6632	439
60	6709	440
60	6741	441
60	6840	442
60	6853	443
60	6854	444
60	79718	445
60	90665	446
60	6908	447
60	7067	448
60	7082	449
60	7088	450
60	7155	451
10155	60	452
60	8295	453
60	7529	454
60	7531	455
10971	60	456
60	9406	457
71	86	458
51412	71	459
71	8289	460
57492	71	461
1213	71	462
3312	71	463
5216	71	464
6595	71	465
6597	71	466
6598	71	467
6599	71	468
6601	71	469
6602	71	470
6605	71	471
347733	71	472
71	7415	473
55299	72	474
72	9188	475
1660	72	476
10969	72	477
1915	72	478
1938	72	479
2091	72	480
26354	72	481
339942	72	482
3007	72	483
72	8342	484
3178	72	485
4670	72	486
3192	72	487
10642	72	488
3608	72	489
3609	72	490
51631	72	491
55646	72	492
10514	72	493
4673	72	494
4691	72	495
72	9221	496
10528	72	497
51602	72	498
4869	72	499
11137	72	500
55131	72	501
4736	72	502
6134	72	503
6135	72	504
6136	72	505
23521	72	506
6137	72	507
72	9045	508
6138	72	509
6139	72	510
6142	72	511
6141	72	512
6143	72	513
6144	72	514
6146	72	515
6147	72	516
72	9349	517
6152	72	518
6154	72	519
6157	72	520
6155	72	521
6158	72	522
6159	72	523
6156	72	524
6160	72	525
6161	72	526
6165	72	527
11224	72	528
6173	72	529
25873	72	530
6168	72	531
6170	72	532
6122	72	533
6124	72	534
6125	72	535
6128	72	536
6130	72	537
6129	72	538
6132	72	539
6126	72	540
254948	72	541
6133	72	543
6175	72	544
6176	72	545
6181	72	546
6205	72	547
6206	72	548
6207	72	549
6208	72	550
6210	72	551
6209	72	552
6217	72	553
6218	72	554
6222	72	555
6228	72	556
6229	72	557
6235	72	558
6187	72	559
6189	72	560
6194	72	561
6201	72	562
6202	72	563
6203	72	564
26156	72	565
55681	72	566
292	72	567
4809	72	568
6727	72	569
6732	72	570
6949	72	571
7150	72	572
72	7846	573
72	81027	574
72	7284	575
72	7307	576
11338	72	577
4904	72	578
51412	86	579
79913	86	580
64431	86	581
86	93973	582
8289	86	583
57492	86	584
196528	86	585
51742	86	586
86	9031	587
672	86	588
29117	86	589
10902	86	590
86	892	591
1024	86	592
10036	86	593
1108	86	594
55929	86	595
5977	86	596
55840	86	597
57634	86	598
80314	86	599
26122	86	600
57459	86	601
3015	86	602
3065	86	603
3066	86	604
3183	86	605
3621	86	606
54556	86	607
83444	86	608
125476	86	609
54891	86	610
283899	86	611
54617	86	612
10524	86	613
86	8932	614
53615	86	615
10445	86	616
64769	86	617
86	9412	618
4298	86	619
10933	86	620
86	9643	621
55257	86	622
86	9219	623
4609	86	624
4798	86	625
55193	86	626
55274	86	627
10419	86	628
5928	86	629
5931	86	630
86	8607	631
10856	86	632
10284	86	633
86	8819	634
25942	86	635
6595	86	636
6597	86	637
6598	86	638
6599	86	639
6601	86	640
6602	86	641
6603	86	642
6604	86	643
6605	86	644
10847	86	645
11198	86	646
6929	86	647
7155	86	648
8295	86	649
7421	86	650
6944	86	651
8089	86	652
10467	86	653
51412	8289	654
51412	57492	655
51412	6595	656
51412	6597	657
51412	6598	658
51412	6599	659
51412	6601	660
51412	6602	661
51412	6605	662
87	9564	663
87	999	664
1499	87	665
3728	87	666
29780	87	667
5310	87	668
5747	87	669
5829	87	670
6714	87	671
7094	87	672
7414	87	673
81	815	674
81	9146	675
3326	81	676
3303	81	677
3312	81	678
3689	81	679
3909	81	680
57554	81	681
4356	81	682
4645	81	683
5027	81	684
5297	81	685
5787	81	686
105371893	81	687
81	9351	688
6550	81	689
6840	81	690
10612	81	691
10096	10097	692
10095	10097	693
10097	10109	694
10094	10097	695
10093	10097	696
10092	10097	697
10095	10096	698
10096	10109	699
10094	10096	700
10093	10096	701
10092	10096	702
10096	123720	703
79913	93973	704
79913	83444	705
125476	79913	706
54891	79913	707
283899	79913	708
54617	79913	709
10445	79913	710
4798	79913	711
79913	8607	712
10856	79913	713
6929	79913	714
