Entrez_A	Entrez_B	ID
345651	9620	456
1952	345651	457
1951	345651	458
1212	345651	459
1300	345651	460
1301	345651	461
1302	345651	462
1303	345651	463
1305	345651	464
345651	7373	465
1306	345651	466
1307	345651	467
1308	345651	468
1277	345651	469
1278	345651	470
345651	57642	471
345651	85301	472
1280	345651	473
1281	345651	474
1282	345651	475
1284	345651	476
1285	345651	477
1286	345651	478
1287	345651	479
1288	345651	480
1289	345651	481
1290	345651	482
345651	50509	483
1291	345651	484
1292	345651	485
1293	345651	486
1295	345651	487
1296	345651	488
1297	345651	489
1298	345651	490
1299	345651	491
345651	441294	492
100128553	345651	493
345651	643854	494
1499	345651	495
345651	8642	496
1755	345651	497
2195	345651	498
2196	345651	499
120114	345651	500
2316	345651	501
2317	345651	502
2335	345651	503
345651	9026	504
3092	345651	505
3064	345651	506
345651	55081	507
345651	3611	508
345651	8515	509
22801	345651	510
345651	3672	511
345651	3674	512
345651	3673	513
345651	3675	514
345651	3676	515
345651	3678	516
345651	3655	517
345651	3679	518
345651	8516	519
345651	3680	520
345651	3681	521
345651	3682	522
345651	3683	523
345651	3684	524
345651	3685	525
345651	3687	526
345651	3688	527
345651	3689	528
345651	3691	529
345651	3693	530
345651	3694	531
345651	3695	532
345651	3696	533
345651	9358	534
345651	3728	535
284217	345651	536
345651	3908	537
345651	3909	538
345651	3910	539
345651	3911	540
345651	3912	541
345651	3913	542
345651	3914	543
22798	345651	544
345651	3915	545
345651	3918	546
10319	345651	547
345651	3987	548
345651	55679	549
345651	85377	550
345651	4628	551
345651	4629	552
345651	8735	553
345651	79784	554
22989	345651	555
345651	4619	556
345651	4620	557
345651	4621	558
345651	4622	559
345651	4624	560
345651	57644	561
345651	4625	562
345651	4626	563
345651	4627	564
345651	4651	565
345651	51168	566
23026	345651	567
345651	399687	568
345651	84700	569
345651	80179	570
345651	4640	571
345651	4430	572
345651	4641	573
345651	4642	574
345651	4643	575
345651	4542	576
345651	64005	577
345651	53904	578
140469	345651	579
345651	4644	580
345651	4645	581
345651	55930	582
345651	4646	583
345651	4647	584
345651	4648	585
345651	4649	586
345651	5818	587
345651	59277	588
345651	55742	589
29780	345651	590
345651	57575	591
27328	345651	592
345651	83259	593
345651	51294	594
345651	65217	595
345651	54510	596
345651	57526	597
345651	5097	598
345651	64881	599
345651	5099	600
345651	5100	601
345651	5101	602
345651	56139	603
345651	56138	604
345651	56137	605
345651	56136	606
345651	56147	607
345651	56146	608
345651	56145	609
345651	56144	610
345651	56143	611
345651	56142	612
345651	56141	613
345651	56140	614
345651	9752	615
345651	56135	616
345651	56134	617
345651	56126	618
345651	56125	619
345651	56124	620
345651	56123	621
345651	56122	622
345651	56121	623
345651	57717	624
29930	345651	625
345651	56133	626
345651	56132	627
345651	56131	628
26167	345651	629
345651	56130	630
345651	56129	631
345651	56128	632
345651	56106	633
345651	56105	634
26025	345651	635
345651	56114	636
345651	56113	637
345651	56112	638
345651	56110	639
345651	56109	640
345651	56108	641
345651	9708	642
345651	56104	643
345651	56103	644
345651	8641	645
345651	56100	646
345651	56099	647
345651	5098	648
345651	56098	649
345651	56097	650
345651	5216	651
345651	5217	652
345456	345651	653
345651	79990	654
2185	345651	655
345651	5747	656
345651	5829	657
345651	7094	658
345651	7414	659
284217	60	660
3908	60	661
3909	60	662
3910	60	663
3911	60	664
3912	60	665
3913	60	666
3914	60	667
22798	60	668
3915	60	669
3918	60	670
10319	60	671
3987	60	672
55679	60	673
60	85377	674
4628	60	675
4629	60	676
60	8735	677
60	79784	678
22989	60	679
4619	60	680
4620	60	681
4621	60	682
4622	60	683
4624	60	684
57644	60	685
4625	60	686
4626	60	687
4627	60	688
4651	60	689
51168	60	690
23026	60	691
399687	60	692
60	84700	693
60	80179	694
4640	60	695
4430	60	696
4641	60	697
4642	60	698
4643	60	699
4542	60	700
60	64005	701
53904	60	702
140469	60	703
4644	60	704
4645	60	705
55930	60	706
4646	60	707
4647	60	708
4648	60	709
4649	60	710
5818	60	711
59277	60	712
55742	60	713
29780	60	714
57575	60	715
27328	60	716
60	83259	717
51294	60	718
60	65217	719
54510	60	720
57526	60	721
5097	60	722
60	64881	723
5099	60	724
5100	60	725
5101	60	726
56139	60	727
56138	60	728
56137	60	729
56136	60	730
56147	60	731
56146	60	732
56145	60	733
56144	60	734
56143	60	735
56142	60	736
56141	60	737
56140	60	738
60	9752	739
56135	60	740
56134	60	741
56126	60	742
56125	60	743
56124	60	744
56123	60	745
56122	60	746
56121	60	747
57717	60	748
29930	60	749
56133	60	750
56132	60	751
56131	60	752
26167	60	753
56130	60	754
56129	60	755
56128	60	756
56106	60	757
56105	60	758
26025	60	759
56114	60	760
56113	60	761
56112	60	762
56110	60	763
56109	60	764
56108	60	765
60	9708	766
56104	60	767
56103	60	768
60	8641	769
56100	60	770
56099	60	771
5098	60	772
56098	60	773
56097	60	774
5216	60	775
5217	60	776
345456	60	777
60	79990	778
2185	60	779
5747	60	780
5829	60	781
60	7094	782
60	7414	783
4301	70	784
160	70	785
161	70	786
10552	70	787
10095	70	788
70	81873	789
10092	70	790
1008	70	791
1009	70	792
1010	70	793
1012	70	794
1013	70	795
1014	70	796
1015	70	797
1016	70	798
28513	70	799
70	999	800
28316	70	801
64405	70	802
64072	70	803
64403	70	804
1000	70	805
1001	70	806
1002	70	807
1003	70	808
1004	70	809
1005	70	810
1006	70	811
1007	70	812
70	92211	813
54825	70	814
70	9620	815
1952	70	816
1951	70	817
1212	70	818
441294	70	819
100128553	70	820
643854	70	821
1499	70	822
70	8642	823
2195	70	824
2196	70	825
120114	70	826
70	9026	827
3092	70	828
3064	70	829
55081	70	830
3728	70	831
4628	70	832
4629	70	833
70	8735	834
70	79784	835
22989	70	836
4619	70	837
4620	70	838
4621	70	839
4622	70	840
4624	70	841
57644	70	842
4625	70	843
4626	70	844
4627	70	845
4651	70	846
51168	70	847
23026	70	848
399687	70	849
70	84700	850
70	80179	851
4640	70	852
4430	70	853
4641	70	854
4642	70	855
4643	70	856
4542	70	857
64005	70	858
53904	70	859
140469	70	860
4644	70	861
4645	70	862
55930	70	863
4646	70	864
4647	70	865
4648	70	866
4649	70	867
5818	70	868
57575	70	869
27328	70	870
70	83259	871
51294	70	872
65217	70	873
54510	70	874
57526	70	875
5097	70	876
64881	70	877
5099	70	878
5100	70	879
5101	70	880
56139	70	881
56138	70	882
56137	70	883
56136	70	884
56147	70	885
56146	70	886
56145	70	887
56144	70	888
56143	70	889
56142	70	890
56141	70	891
56140	70	892
70	9752	893
56135	70	894
56134	70	895
56126	70	896
56125	70	897
56124	70	898
56123	70	899
56122	70	900
56121	70	901
57717	70	902
29930	70	903
56133	70	904
56132	70	905
56131	70	906
26167	70	907
56130	70	908
56129	70	909
56128	70	910
56106	70	911
56105	70	912
26025	70	913
56114	70	914
56113	70	915
56112	70	916
56110	70	917
56109	70	918
56108	70	919
70	9708	920
56104	70	921
56103	70	922
70	8641	923
56100	70	924
56099	70	925
5098	70	926
56098	70	927
56097	70	928
5216	70	929
5217	70	930
345456	70	931
70	79990	932
71	87	933
71	88	934
71	81	935
4301	71	936
160	71	937
161	71	938
10552	71	939
10095	71	940
71	81873	941
10092	71	942
1008	71	943
1009	71	944
1010	71	945
1012	71	946
1013	71	947
1014	71	948
1015	71	949
1016	71	950
28513	71	951
71	999	952
28316	71	953
64405	71	954
64072	71	955
64403	71	956
1000	71	957
1001	71	958
1002	71	959
1003	71	960
1004	71	961
1005	71	962
1006	71	963
1007	71	964
71	92211	965
54825	71	966
71	9620	967
1952	71	968
1951	71	969
1212	71	970
1300	71	971
1301	71	972
1302	71	973
1303	71	974
1305	71	975
71	7373	976
1306	71	977
1307	71	978
1308	71	979
1277	71	980
1278	71	981
57642	71	982
71	85301	983
1280	71	984
1281	71	985
1282	71	986
1284	71	987
1285	71	988
1286	71	989
1287	71	990
1288	71	991
1289	71	992
1290	71	993
50509	71	994
1291	71	995
1292	71	996
1293	71	997
1295	71	998
1296	71	999
1297	71	1000
1298	71	1001
1299	71	1002
441294	71	1003
100128553	71	1004
643854	71	1005
1499	71	1006
71	8642	1007
1755	71	1008
2195	71	1009
2196	71	1010
120114	71	1011
2316	71	1012
2317	71	1013
2335	71	1014
71	9026	1015
3092	71	1016
3064	71	1017
55081	71	1018
3611	71	1019
71	8515	1020
22801	71	1021
3672	71	1022
3674	71	1023
3673	71	1024
3675	71	1025
3676	71	1026
3678	71	1027
3655	71	1028
3679	71	1029
71	8516	1030
3680	71	1031
3681	71	1032
3682	71	1033
3683	71	1034
3684	71	1035
3685	71	1036
3687	71	1037
3688	71	1038
3689	71	1039
3691	71	1040
3693	71	1041
3694	71	1042
3695	71	1043
3696	71	1044
71	9358	1045
3728	71	1046
284217	71	1047
3908	71	1048
3909	71	1049
3910	71	1050
3911	71	1051
3912	71	1052
3913	71	1053
3914	71	1054
22798	71	1055
3915	71	1056
3918	71	1057
10319	71	1058
3987	71	1059
55679	71	1060
71	85377	1061
4628	71	1062
4629	71	1063
71	8735	1064
71	79784	1065
22989	71	1066
4619	71	1067
4620	71	1068
4621	71	1069
4622	71	1070
4624	71	1071
57644	71	1072
4625	71	1073
4626	71	1074
4627	71	1075
4651	71	1076
51168	71	1077
23026	71	1078
399687	71	1079
71	84700	1080
71	80179	1081
4640	71	1082
4430	71	1083
4641	71	1084
4642	71	1085
4643	71	1086
4542	71	1087
64005	71	1088
53904	71	1089
140469	71	1090
4644	71	1091
4645	71	1092
55930	71	1093
4646	71	1094
4647	71	1095
4648	71	1096
4649	71	1097
5818	71	1098
59277	71	1099
55742	71	1100
29780	71	1101
57575	71	1102
27328	71	1103
71	83259	1104
51294	71	1105
65217	71	1106
54510	71	1107
57526	71	1108
5097	71	1109
64881	71	1110
5099	71	1111
5100	71	1112
5101	71	1113
56139	71	1114
56138	71	1115
56137	71	1116
56136	71	1117
56147	71	1118
56146	71	1119
56145	71	1120
56144	71	1121
56143	71	1122
56142	71	1123
56141	71	1124
56140	71	1125
71	9752	1126
56135	71	1127
56134	71	1128
56126	71	1129
56125	71	1130
56124	71	1131
56123	71	1132
56122	71	1133
56121	71	1134
57717	71	1135
29930	71	1136
56133	71	1137
56132	71	1138
56131	71	1139
26167	71	1140
56130	71	1141
56129	71	1142
56128	71	1143
56106	71	1144
56105	71	1145
26025	71	1146
56114	71	1147
56113	71	1148
56112	71	1149
56110	71	1150
56109	71	1151
56108	71	1152
71	9708	1153
56104	71	1154
56103	71	1155
71	8641	1156
56100	71	1157
56099	71	1158
5098	71	1159
56098	71	1160
56097	71	1161
5216	71	1162
5217	71	1163
345456	71	1164
71	79990	1165
2185	71	1166
5747	71	1167
5829	71	1168
7094	71	1169
71	7414	1170
4301	72	1171
160	72	1172
161	72	1173
10552	72	1174
10095	72	1175
72	81873	1176
10092	72	1177
1008	72	1178
1009	72	1179
1010	72	1180
1012	72	1181
1013	72	1182
1014	72	1183
1015	72	1184
1016	72	1185
28513	72	1186
72	999	1187
28316	72	1188
64405	72	1189
64072	72	1190
64403	72	1191
1000	72	1192
1001	72	1193
1002	72	1194
1003	72	1195
1004	72	1196
1005	72	1197
1006	72	1198
1007	72	1199
72	92211	1200
54825	72	1201
72	9620	1202
1952	72	1203
1951	72	1204
1212	72	1205
441294	72	1206
100128553	72	1207
643854	72	1208
1499	72	1209
72	8642	1210
2195	72	1211
2196	72	1212
120114	72	1213
72	9026	1214
3092	72	1215
3064	72	1216
55081	72	1217
3728	72	1218
4628	72	1219
4629	72	1220
72	8735	1221
72	79784	1222
22989	72	1223
4619	72	1224
4620	72	1225
4621	72	1226
4622	72	1227
4624	72	1228
57644	72	1229
4625	72	1230
4626	72	1231
4627	72	1232
4651	72	1233
51168	72	1234
23026	72	1235
399687	72	1236
72	84700	1237
72	80179	1238
4640	72	1239
4430	72	1240
4641	72	1241
4642	72	1242
4643	72	1243
4542	72	1244
64005	72	1245
53904	72	1246
140469	72	1247
4644	72	1248
4645	72	1249
55930	72	1250
4646	72	1251
4647	72	1252
4648	72	1253
4649	72	1254
5818	72	1255
57575	72	1256
27328	72	1257
72	83259	1258
51294	72	1259
65217	72	1260
54510	72	1261
57526	72	1262
5097	72	1263
64881	72	1264
5099	72	1265
5100	72	1266
5101	72	1267
56139	72	1268
56138	72	1269
56137	72	1270
56136	72	1271
56147	72	1272
56146	72	1273
56145	72	1274
56144	72	1275
56143	72	1276
56142	72	1277
56141	72	1278
56140	72	1279
72	9752	1280
56135	72	1281
56134	72	1282
56126	72	1283
56125	72	1284
56124	72	1285
56123	72	1286
56122	72	1287
56121	72	1288
57717	72	1289
29930	72	1290
56133	72	1291
56132	72	1292
56131	72	1293
26167	72	1294
56130	72	1295
56129	72	1296
56128	72	1297
56106	72	1298
56105	72	1299
26025	72	1300
56114	72	1301
56113	72	1302
56112	72	1303
56110	72	1304
56109	72	1305
56108	72	1306
72	9708	1307
56104	72	1308
56103	72	1309
72	8641	1310
56100	72	1311
56099	72	1312
5098	72	1313
56098	72	1314
56097	72	1315
5216	72	1316
5217	72	1317
345456	72	1318
72	79990	1319
1300	87	1320
1301	87	1321
1302	87	1322
1303	87	1323
1305	87	1324
7373	87	1325
1306	87	1326
1307	87	1327
1308	87	1328
1277	87	1329
1278	87	1330
57642	87	1331
85301	87	1332
1280	87	1333
1281	87	1334
1282	87	1335
1284	87	1336
1285	87	1337
1286	87	1338
1287	87	1339
1288	87	1340
1289	87	1341
1290	87	1342
50509	87	1343
1291	87	1344
1292	87	1345
1293	87	1346
1295	87	1347
1296	87	1348
1297	87	1349
1298	87	1350
1299	87	1351
1755	87	1352
2316	87	1353
2317	87	1354
2335	87	1355
3611	87	1356
8515	87	1357
22801	87	1358
3672	87	1359
3674	87	1360
3673	87	1361
3675	87	1362
3676	87	1363
3678	87	1364
3655	87	1365
3679	87	1366
8516	87	1367
3680	87	1368
3681	87	1369
3682	87	1370
3683	87	1371
3684	87	1372
3685	87	1373
3687	87	1374
3688	87	1375
3689	87	1376
3691	87	1377
3693	87	1378
3694	87	1379
3695	87	1380
3696	87	1381
87	9358	1382
284217	87	1383
3908	87	1384
3909	87	1385
3910	87	1386
3911	87	1387
3912	87	1388
3913	87	1389
3914	87	1390
22798	87	1391
3915	87	1392
3918	87	1393
10319	87	1394
3987	87	1395
55679	87	1396
59277	87	1397
55742	87	1398
29780	87	1399
2185	87	1400
5747	87	1401
5829	87	1402
7094	87	1403
7414	87	1404
1300	88	1405
1301	88	1406
1302	88	1407
1303	88	1408
1305	88	1409
7373	88	1410
1306	88	1411
1307	88	1412
1308	88	1413
1277	88	1414
1278	88	1415
57642	88	1416
85301	88	1417
1280	88	1418
1281	88	1419
1282	88	1420
1284	88	1421
1285	88	1422
1286	88	1423
1287	88	1424
1288	88	1425
1289	88	1426
1290	88	1427
50509	88	1428
1291	88	1429
1292	88	1430
1293	88	1431
1295	88	1432
1296	88	1433
1297	88	1434
1298	88	1435
1299	88	1436
1755	88	1437
2316	88	1438
2317	88	1439
2335	88	1440
3611	88	1441
8515	88	1442
22801	88	1443
3672	88	1444
3674	88	1445
3673	88	1446
3675	88	1447
3676	88	1448
3678	88	1449
3655	88	1450
3679	88	1451
8516	88	1452
3680	88	1453
3681	88	1454
3682	88	1455
3683	88	1456
3684	88	1457
3685	88	1458
3687	88	1459
3688	88	1460
3689	88	1461
3691	88	1462
3693	88	1463
3694	88	1464
3695	88	1465
3696	88	1466
88	9358	1467
284217	88	1468
3908	88	1469
3909	88	1470
3910	88	1471
3911	88	1472
3912	88	1473
3913	88	1474
3914	88	1475
22798	88	1476
3915	88	1477
3918	88	1478
10319	88	1479
3987	88	1480
55679	88	1481
59277	88	1482
55742	88	1483
29780	88	1484
2185	88	1485
5747	88	1486
5829	88	1487
7094	88	1488
7414	88	1489
1300	81	1490
1301	81	1491
1302	81	1492
1303	81	1493
1305	81	1494
7373	81	1495
1306	81	1496
1307	81	1497
1308	81	1498
1277	81	1499
1278	81	1500
57642	81	1501
81	85301	1502
1280	81	1503
1281	81	1504
1282	81	1505
1284	81	1506
1285	81	1507
1286	81	1508
1287	81	1509
1288	81	1510
1289	81	1511
1290	81	1512
50509	81	1513
1291	81	1514
1292	81	1515
1293	81	1516
1295	81	1517
1296	81	1518
1297	81	1519
1298	81	1520
1299	81	1521
1755	81	1522
2316	81	1523
2317	81	1524
2335	81	1525
3611	81	1526
81	8515	1527
22801	81	1528
3672	81	1529
3674	81	1530
3673	81	1531
3675	81	1532
3676	81	1533
3678	81	1534
3655	81	1535
3679	81	1536
81	8516	1537
3680	81	1538
3681	81	1539
3682	81	1540
3683	81	1541
3684	81	1542
3685	81	1543
3687	81	1544
3688	81	1545
3689	81	1546
3691	81	1547
3693	81	1548
3694	81	1549
3695	81	1550
3696	81	1551
81	9358	1552
284217	81	1553
3908	81	1554
3909	81	1555
3910	81	1556
3911	81	1557
3912	81	1558
3913	81	1559
3914	81	1560
22798	81	1561
3915	81	1562
3918	81	1563
10319	81	1564
3987	81	1565
55679	81	1566
59277	81	1567
55742	81	1568
29780	81	1569
2185	81	1570
5747	81	1571
5829	81	1572
7094	81	1573
7414	81	1574
10121	441294	1575
100128553	10121	1576
10121	643854	1577
10121	4628	1578
10121	4629	1579
10121	8735	1580
