,Edge,Node,method,Group,Comparator,Network,k,m
83,492812,18002,Global,ALL,False,Global_k9,9.0,
84,438553,17166,Ranked,ALL,False,Ranked_k10_m3,10.0,3.0
85,433939,17165,Ranked,ALL,False,Ranked_k9_m3,9.0,3.0
86,431057,17549,Global,ALL,False,Global_k10,10.0,
87,385664,17298,Global,ALL,False,Global_k11,11.0,
88,344657,17082,Global,ALL,False,Global_k12,12.0,
89,343308,16635,Ranked,ALL,False,Ranked_k4_m2,4.0,2.0
90,300734,16810,Global,ALL,False,Global_k13,13.0,
91,281546,16237,Ranked,ALL,False,Ranked_k8_m3,8.0,3.0
92,276928,16212,Ranked,ALL,False,Ranked_k7_m3,7.0,3.0
93,274236,16189,Ranked,ALL,False,Ranked_k6_m3,6.0,3.0
94,271017,16146,Ranked,ALL,False,Ranked_k5_m3,5.0,3.0
95,251006,16506,Global,ALL,False,Global_k14,14.0,
96,199535,16084,Global,ALL,False,Global_k15,15.0,
97,156316,15415,Global,ALL,False,Global_k16,16.0,
98,121345,14559,Global,ALL,False,Global_k17,17.0,
99,96739,12449,Ranked,ALL,False,Ranked_k3_m2,3.0,2.0
100,92391,13453,Global,ALL,False,Global_k18,18.0,
101,69333,12080,Global,ALL,False,Global_k19,19.0,
102,57388,9503,Ranked,ALL,False,Ranked_k4_m3,4.0,3.0
103,52030,10604,Global,ALL,False,Global_k20,20.0,
104,39261,9282,Global,ALL,False,Global_k21,21.0,
105,29556,8001,Global,ALL,False,Global_k22,22.0,
106,22166,6946,Global,ALL,False,Global_k23,23.0,
107,16347,5858,Global,ALL,False,Global_k24,24.0,
108,11962,4906,Global,ALL,False,Global_k25,25.0,
109,8833,4116,Global,ALL,False,Global_k26,26.0,
110,6441,3415,Global,ALL,False,Global_k27,27.0,
111,6325,2863,Ranked,ALL,False,Ranked_k2_m2,2.0,2.0
112,4590,2781,Global,ALL,False,Global_k28,28.0,
113,4401,2292,Ranked,ALL,False,Ranked_k3_m3,3.0,3.0
114,3173,2168,Global,ALL,False,Global_k29,29.0,
115,2128,1633,Global,ALL,False,Global_k30,30.0,
116,1427,1247,Global,ALL,False,Global_k31,31.0,
117,880,862,Global,ALL,False,Global_k32,32.0,
118,543,583,Global,ALL,False,Global_k33,33.0,
119,318,384,Global,ALL,False,Global_k34,34.0,
120,172,236,Global,ALL,False,Global_k35,35.0,
121,84,128,Global,ALL,False,Global_k36,36.0,
122,36,56,Global,ALL,False,Global_k37,37.0,
123,16,26,Global,ALL,False,Global_k38,38.0,
124,4,5,Global,ALL,False,Global_k39,39.0,
125,2,2,Global,ALL,False,Global_k40,40.0,
126,5916641,20772,Ranked,NOCITE,False,Ranked_CCFree_k44_m2,44.0,2.0
127,5916641,20772,Global,NOCITE,False,Global_k2,2.0,
128,5060837,20713,Ranked,NOCITE,False,Ranked_CCFree_k43_m2,43.0,2.0
129,5008068,20712,Ranked,NOCITE,False,Ranked_CCFree_k42_m2,42.0,2.0
130,4462336,20711,Ranked,NOCITE,False,Ranked_CCFree_k41_m2,41.0,2.0
131,4414284,20706,Ranked,NOCITE,False,Ranked_CCFree_k40_m2,40.0,2.0
132,4363386,19851,Ranked,NOCITE,False,Ranked_CCFree_k39_m2,39.0,2.0
133,4363372,19851,Ranked,NOCITE,False,Ranked_CCFree_k38_m2,38.0,2.0
134,4363259,19848,Ranked,NOCITE,False,Ranked_CCFree_k37_m2,37.0,2.0
135,4351505,19840,Ranked,NOCITE,False,Ranked_CCFree_k36_m2,36.0,2.0
136,4345233,19839,Ranked,NOCITE,False,Ranked_CCFree_k35_m2,35.0,2.0
137,4293080,19675,Ranked,NOCITE,False,Ranked_CCFree_k34_m2,34.0,2.0
138,4292319,19667,Ranked,NOCITE,False,Ranked_CCFree_k33_m2,33.0,2.0
139,4288575,19663,Ranked,NOCITE,False,Ranked_CCFree_k32_m2,32.0,2.0
140,4279929,19650,Ranked,NOCITE,False,Ranked_CCFree_k31_m2,31.0,2.0
141,4222657,19643,Ranked,NOCITE,False,Ranked_CCFree_k30_m2,30.0,2.0
142,4078743,19580,Ranked,NOCITE,False,Ranked_CCFree_k29_m2,29.0,2.0
143,4077819,19580,Ranked,NOCITE,False,Ranked_CCFree_k28_m2,28.0,2.0
144,4077745,19579,Ranked,NOCITE,False,Ranked_CCFree_k27_m2,27.0,2.0
145,4046768,19565,Ranked,NOCITE,False,Ranked_CCFree_k26_m2,26.0,2.0
146,4046755,19565,Ranked,NOCITE,False,Ranked_CCFree_k25_m2,25.0,2.0
147,4044621,19561,Ranked,NOCITE,False,Ranked_CCFree_k24_m2,24.0,2.0
148,4043343,19561,Ranked,NOCITE,False,Ranked_CCFree_k23_m2,23.0,2.0
149,4042277,19558,Ranked,NOCITE,False,Ranked_CCFree_k22_m2,22.0,2.0
150,4040012,19554,Ranked,NOCITE,False,Ranked_CCFree_k21_m2,21.0,2.0
151,4039565,19554,Ranked,NOCITE,False,Ranked_CCFree_k20_m2,20.0,2.0
152,4016967,19551,Ranked,NOCITE,False,Ranked_CCFree_k19_m2,19.0,2.0
153,3829173,19384,Ranked,NOCITE,False,Ranked_CCFree_k18_m2,18.0,2.0
154,3825634,19368,Ranked,NOCITE,False,Ranked_CCFree_k17_m2,17.0,2.0
155,3825579,19368,Ranked,NOCITE,False,Ranked_CCFree_k16_m2,16.0,2.0
156,3605235,19122,Ranked,NOCITE,False,Ranked_CCFree_k15_m2,15.0,2.0
157,3593774,19052,Ranked,NOCITE,False,Ranked_CCFree_k14_m2,14.0,2.0
158,3591973,19048,Ranked,NOCITE,False,Ranked_CCFree_k13_m2,13.0,2.0
159,3578574,19015,Ranked,NOCITE,False,Ranked_CCFree_k12_m2,12.0,2.0
160,3576464,18991,Ranked,NOCITE,False,Ranked_CCFree_k11_m2,11.0,2.0
161,3323929,18558,Ranked,NOCITE,False,Ranked_CCFree_k10_m2,10.0,2.0
162,3321842,18558,Ranked,NOCITE,False,Ranked_CCFree_k9_m2,9.0,2.0
163,3319434,18554,Ranked,NOCITE,False,Ranked_CCFree_k8_m2,8.0,2.0
164,3317569,18549,Ranked,NOCITE,False,Ranked_CCFree_k7_m2,7.0,2.0
165,2518981,18375,Ranked,NOCITE,False,Ranked_CCFree_k6_m2,6.0,2.0
166,2498964,19511,Global,NOCITE,False,Global_k3,3.0,
167,1402654,19027,Global,NOCITE,False,Global_k4,4.0,
168,1352106,17433,Ranked,NOCITE,False,Ranked_CCFree_k5_m2,5.0,2.0
169,1350592,17418,Ranked,NOCITE,False,Ranked_CCFree_k4_m2,4.0,2.0
170,1121422,16276,Ranked,NOCITE,False,Ranked_CCFree_k3_m2,3.0,2.0
171,963285,18711,Global,NOCITE,False,Global_k5,5.0,
172,9487,3129,Ranked,NOCITE,False,Ranked_CCFree_k2_m2,2.0,2.0
173,1125493,18591,,,True,humannet.v3.xc,,
174,6583401,18960,,,True,string.v12,,
175,5018736,17918,,,True,funcoup,,
176,2687392,18631,,,True,pcnet.v1.4,,
