	GeneA	GeneB
401	6124	6193
402	6124	6202
403	6124	6204
404	6124	6217
405	6124	6223
406	6124	6227
407	6124	6228
408	6124	6231
409	6124	6234
410	6124	6235
411	6124	6125
412	6124	6187
413	6124	6203
414	6124	6207
415	6124	6232
416	6124	6129
417	6128	6130
418	6128	6133
419	6128	140801
420	6128	6135
421	6128	9045
422	6128	6139
423	6128	6143
424	6128	6142
425	6128	9349
426	6128	6157
427	6128	6159
428	6128	6160
429	6128	6164
430	6128	25873
431	6128	6170
432	6128	6171
433	6128	6173
434	4736	6128
435	6128	6191
436	6128	6201
437	6128	6205
438	6128	6209
439	6128	6218
440	6128	6222
441	6128	6224
442	6128	6233
443	6128	10399
444	6128	6194
445	6128	6208
446	6128	6210
447	6128	6229
448	6128	6230
449	2197	6128
450	6128	6137
451	6128	6138
452	6128	23521
453	6128	6141
454	6128	6144
455	6128	6146
456	6128	6152
457	6128	6147
458	6128	6154
459	6128	6155
460	6128	6156
461	6128	6161
462	6128	6165
463	6128	11224
464	6128	6167
465	6128	6169
466	6128	7311
467	6128	6168
468	6128	6158
469	3921	6128
470	6122	6128
471	6128	6189
472	6128	6188
473	6128	6193
474	6128	6202
475	6128	6204
476	6128	6217
477	6128	6223
478	6128	6227
479	6128	6228
480	6128	6231
481	6128	6234
482	6128	6235
483	6125	6128
484	6128	6187
485	6128	6203
486	6128	6207
487	6128	6232
488	6128	6129
489	6130	6133
490	6130	140801
491	6130	6135
492	6130	9045
493	6130	6139
494	6130	6143
495	6130	6142
496	6130	9349
497	6130	6157
498	6130	6159
499	6130	6160
500	6130	6164
501	6130	25873
502	6130	6170
503	6130	6171
504	6130	6173
505	4736	6130
506	6130	6191
507	6130	6201
508	6130	6205
509	6130	6209
510	6130	6218
511	6130	6222
512	6130	6224
513	6130	6233
514	6130	10399
515	6130	6194
516	6130	6208
517	6130	6210
518	6130	6229
519	6130	6230
520	2197	6130
521	6130	6137
522	6130	6138
523	6130	23521
524	6130	6141
525	6130	6144
526	6130	6146
527	6130	6152
528	6130	6147
529	6130	6154
530	6130	6155
531	6130	6156
532	6130	6161
533	6130	6165
534	6130	11224
535	6130	6167
536	6130	6169
537	6130	7311
538	6130	6168
539	6130	6158
540	3921	6130
541	6122	6130
542	6130	6189
543	6130	6188
544	6130	6193
545	6130	6202
546	6130	6204
547	6130	6217
548	6130	6223
549	6130	6227
550	6130	6228
551	6130	6231
552	6130	6234
553	6130	6235
554	6125	6130
555	6130	6187
556	6130	6203
557	6130	6207
558	6130	6232
559	6129	6130
560	6133	140801
561	6133	6135
562	6133	9045
563	6133	6139
564	6133	6143
565	6133	6142
566	6133	9349
567	6133	6157
568	6133	6159
569	6133	6160
570	6133	6164
571	6133	25873
572	6133	6170
573	6133	6171
574	6133	6173
575	4736	6133
576	6133	6191
577	6133	6201
578	6133	6205
579	6133	6209
580	6133	6218
581	6133	6222
582	6133	6224
583	6133	6233
584	6133	10399
585	6133	6194
586	6133	6208
587	6133	6210
588	6133	6229
589	6133	6230
590	2197	6133
591	6133	6137
592	6133	6138
593	6133	23521
594	6133	6141
595	6133	6144
596	6133	6146
597	6133	6152
598	6133	6147
599	6133	6154
600	6133	6155
601	6133	6156
602	6133	6161
603	6133	6165
604	6133	11224
605	6133	6167
606	6133	6169
607	6133	7311
608	6133	6168
609	6133	6158
610	3921	6133
611	6122	6133
612	6133	6189
613	6133	6188
614	6133	6193
615	6133	6202
616	6133	6204
617	6133	6217
618	6133	6223
619	6133	6227
620	6133	6228
621	6133	6231
622	6133	6234
623	6133	6235
624	6125	6133
625	6133	6187
626	6133	6203
627	6133	6207
628	6133	6232
629	6129	6133
630	6135	140801
631	9045	140801
632	6139	140801
633	6143	140801
634	6142	140801
635	9349	140801
636	6157	140801
637	6159	140801
638	6160	140801
639	6164	140801
640	25873	140801
641	6170	140801
642	6171	140801
643	6173	140801
644	4736	140801
645	6191	140801
646	6201	140801
647	6205	140801
648	6209	140801
649	6218	140801
650	6222	140801
651	6224	140801
652	6233	140801
653	10399	140801
654	6194	140801
655	6208	140801
656	6210	140801
657	6229	140801
658	6230	140801
659	2197	140801
660	6137	140801
661	6138	140801
