,GO:0030198,GO:0140096,GO:0005811,GO:0002376,GO:0007010,GO:0030163,GO:0006520,GO:0140110,GO:0032200,GO:0006457,GO:0005815,GO:0006091,GO:0048870,GO:0006575,GO:0006281,GO:0140053,GO:0016491,GO:0042060,GO:0005929,GO:0048018,GO:0140657,GO:0006325,GO:0006355,GO:0003774,GO:0005198,GO:0003014,GO:0042254,GO:0016874,GO:0038024,GO:0140013,GO:0003723,GO:0007059,GO:0007155,GO:0006486,GO:0005215,GO:0000910,GO:0140098,GO:0140097,GO:0072659,GO:0005783,GO:0000228,GO:0045182,GO:0008092,GO:0044782,GO:0055086,GO:0007005,GO:0050877,GO:0008289,GO:0031012,GO:0005975,GO:0006399,GO:0042393,GO:0003013,GO:0009975,GO:0003677,GO:0007018,GO:0005739,GO:0006629,GO:0006260,GO:0006886,GO:0005764,GO:0022600,GO:0005635,GO:0016192,GO:0005730,GO:0007040,GO:0098754,GO:0098542,GO:0140104,GO:0006790,GO:0007163,GO:0003012,GO:0005794,GO:0005615,GO:0006913,GO:0005777,GO:0006954,GO:0016853,GO:0031047,GO:0006766,GO:0005840,GO:0006310,GO:0005768,GO:0016071,GO:0016740,GO:0016829,GO:0006914,GO:0065003,GO:0055085,GO:0003924,GO:0034330,GO:0002181,GO:0012501
GO:0030198,0.35812738597548727,0.028658915865542648,0.057599629286376276,0.033354544813531936,0.045460399915559724,0.06296422986708367,0.07479160488945999,0.04885345303492403,0.08478660209461555,0.08887331322656924,0.054816579038032325,0.0817810756290625,0.058746951166450775,0.07341236172052394,0.07323589501807323,0.054218858733472514,0.06756680124425486,0.15635533456049341,0.04595196830898737,0.10262308758756916,0.06747100646006594,0.09039515792146896,0.03089837500446246,0.060530167506911696,0.09647537922572155,0.08894228268896724,0.06961327122250628,0.06380285349445276,0.102803738317757,0.06458421752539399,0.033718216595423484,0.0816152103899333,0.07418517035713919,0.06209872425581589,0.03577626485115472,0.07304116865869854,0.05852834339136601,0.0887900037744095,0.10015251359673102,0.04175578592656729,0.08346754325972011,0.027477987905724796,0.06299894703890264,0.05207493797310324,0.06482000998683554,0.07498066788197626,0.034625248099596856,0.06015437849347884,0.20155187431576088,0.08412813102119461,0.04876328304548661,0.1025730766737961,0.10047648538314734,0.07806382315235093,0.033613930136502025,0.05159734407928964,0.03689582529002239,0.04538203011996937,0.08329796565090683,0.07741004187668978,0.07852927991802904,0.06742508324084351,0.07703377088195412,0.0389987184257307,0.033097750914224,0.05878294310598348,0.0777798736206734,0.058375754970830925,0.06060225417090133,0.07266625000615148,0.10677665120009165,0.1047974327270934,0.04528590332629226,0.029348420057420915,0.10448467813875142,0.056262123398278116,0.08520086278609236,0.0930173966718315,0.016584214189004607,0.06320754716981132,0.08038758182643074,0.0782464846980976,0.06009598351611891,0.06324629929387478,0.02556750496132166,0.07515323038899278,0.07918552036199095,0.04369560219397642,0.035385212125072035,0.06673823768526818,0.0944705938287453,0.09084062967835595,0.04982073032093645
GO:0140096,0.028658915865542648,0.19976092632577647,0.010973443714187906,0.10958714286921717,0.0956190698993908,0.10266219803823937,0.02925544941058641,0.12734266608932016,0.030499113483640452,0.030870918616172832,0.07034810339251438,0.05387101395781458,0.09927829965170411,0.017808080515949908,0.0707983015890847,0.018462872595352082,0.07069201509783223,0.05083346250226046,0.04806917995563711,0.03163157914227204,0.07518656321214669,0.09793629877504313,0.1363609079259669,0.011278958845812984,0.06297449724949104,0.011898735441632214,0.04142482511598297,0.0337653291454071,0.011026994939397603,0.028592243113855546,0.1121224882356572,0.05203787833345436,0.08866845461074176,0.01677970081444653,0.05972119979902081,0.02429411134931598,0.04321858226828189,0.052817880841219966,0.03231607143897969,0.09541732854703487,0.030838250980983285,0.01925206753965387,0.0789996636642004,0.02714186887178302,0.06352195476794024,0.051975222931901634,0.05302027697014933,0.057448889296907474,0.03745886661608712,0.051948630445596965,0.02095699974208948,0.03922851728325869,0.04980902935159751,0.019554117127048565,0.1294008139601337,0.04300000714007565,0.09778465726346669,0.07418767865180663,0.03945499994132213,0.07158676294882996,0.06170763820197048,0.009986496303195876,0.052936369469051454,0.09548429441264034,0.07811099550097454,0.012401199895527387,0.014078952667975365,0.08435033568909978,0.014785702588306056,0.026548325460729435,0.028922168990223762,0.04283486068684625,0.08651758457106375,0.10075232605756575,0.049105228331706496,0.014392121654424569,0.06926366436888651,0.03228626976316773,0.014723482158208939,0.01067329642681689,0.03257415807933517,0.04112591232511197,0.07618041314153687,0.07808556302871333,0.15961486893278246,0.042943886534905544,0.0681296191345831,0.10820878035264135,0.07297115458974557,0.05444104339264233,0.061819997746949455,0.027731754380779176,0.13769307496042732
GO:0005811,0.057599629286376276,0.010973443714187906,0.3958454668996311,0.012033697846780163,0.02018132810585641,0.04037745363603221,0.09824949749382998,0.019773002736108783,0.11596501345636294,0.12638076673164392,0.03583141153436578,0.08231786362457869,0.017789880891784588,0.11584310937314848,0.055136010655572595,0.10358916158320329,0.051772920829044826,0.07020545591974163,0.0255959372238442,0.028526199994633898,0.0564646120665191,0.05836034124435014,0.011858672423246423,0.08009718905785262,0.037729463717059576,0.08404239438722197,0.0932554886577875,0.11651619463797391,0.08491296726590844,0.06346180411659069,0.020142292348138052,0.07405524095689356,0.019545167211216973,0.0716230327440889,0.019388246161524028,0.11055458768873402,0.06268859007739773,0.07886677494686997,0.09443221740735172,0.02233037922836307,0.10557727062581432,0.02919892352869027,0.03264297455795972,0.04069739478957916,0.05855670456689133,0.07577443243055314,0.012653488244039425,0.041402714932126695,0.03263683473578526,0.06428179382042425,0.08780379041248607,0.11776852333853896,0.04654726052728906,0.04548515205232854,0.01364448279007209,0.03564714917894891,0.02733821467994332,0.034843834452938,0.09368143313428691,0.06633035157062617,0.05384328049660254,0.10001788428865242,0.07289306783404591,0.020087358917943627,0.019734274047907122,0.14492753623188406,0.10804401441851641,0.026214340786430222,0.14309835373575347,0.08863017975824078,0.0970268994808872,0.056259147233876476,0.02217772201848635,0.009852066996271912,0.1000813140348024,0.14920613147697268,0.03404419852947258,0.1230932030932031,0.010938515036875693,0.1264262053735738,0.1128432028262249,0.07206761492475779,0.03872283888962177,0.04611333750299212,0.012388683371316085,0.05134124783864455,0.07400643297170582,0.02368710660505139,0.016884590925800212,0.047088318694238886,0.03767013543370832,0.15778186274509803,0.02006268360928381
GO:0002376,0.033354544813531936,0.10958714286921717,0.012033697846780163,0.20856143322344212,0.08834288209084791,0.08551501778183582,0.029881737242828204,0.12359932757966567,0.02923482881754324,0.02929657490577217,0.06393173118874451,0.05399381507908972,0.11573146685532233,0.019200514874141875,0.06400799457964214,0.01787165733345361,0.0707522352560271,0.06275080195047839,0.04708256910227283,0.05350119014996427,0.06883609351014694,0.08702814165997064,0.12255080665490886,0.011616343431742277,0.06474731762544406,0.015110304787433406,0.037982891941372755,0.031176893206833756,0.016391086652488184,0.026937186950784876,0.0999717867734291,0.04735250810456703,0.11571837170070082,0.017502820404171518,0.06481476805088465,0.02351101895938751,0.043057839263147074,0.05137377578376625,0.035294653773480046,0.09162013379742773,0.028587251982164757,0.018142592273715657,0.0760230249948544,0.026903839916065656,0.06378585698957992,0.05124933357378878,0.056859868612960836,0.06699473792515508,0.047547135238426665,0.05386493459155311,0.020186388125701976,0.03710490647872052,0.0583644585736584,0.027174782460353653,0.12155274772904864,0.041740894421392345,0.0887439196672621,0.0770774345870313,0.03700185172035199,0.06922150857622329,0.07323486801121146,0.01309344683469303,0.05232963866432392,0.10035069860253087,0.0686484418450595,0.013656895734914609,0.0170551220405603,0.13772166229449728,0.014868415479108044,0.027855223698029802,0.03070861359529919,0.04695141673524408,0.0873123216864603,0.11027919261047069,0.0483923550665223,0.015095248382424292,0.10612562876035946,0.03257076576585625,0.014283467608903385,0.012558410439498504,0.031236030434970325,0.04206152433425161,0.08502167317545958,0.07246088364608035,0.10591777328095167,0.050000431461398105,0.06584802024507878,0.10534935237926922,0.07819069487482444,0.061145015000778485,0.06666789383984434,0.026648100887235463,0.13298423073399693
GO:0007010,0.045460399915559724,0.0956190698993908,0.02018132810585641,0.08834288209084791,0.25256779174283306,0.11125528489967189,0.04602648499734221,0.12433149584000251,0.0566523445626063,0.05604026552918291,0.15472381886380315,0.07793554503773822,0.1250056325142861,0.02910151566834747,0.10523833147298359,0.032800696232350005,0.08503947099026783,0.0822150344661682,0.11469261368900069,0.039300472620196474,0.11988104864206141,0.13386744302015194,0.11013709901614738,0.03634685779322649,0.11516766827295787,0.021757257279391075,0.07352011874127962,0.055348080367457766,0.01832478523905553,0.05396430876541392,0.12603716414728788,0.1088586041422323,0.108199515942334,0.025391341212583903,0.06716625247931002,0.05786732014842463,0.06848916940819873,0.08706942368499154,0.06445564670066381,0.08652652904589131,0.058848145258528974,0.03299687356257428,0.18024667351611193,0.08546361272396966,0.0863462866178012,0.07594316577638259,0.06496748411007776,0.08530065449909015,0.051065692152829446,0.07195843109665973,0.03582480805744931,0.06891990065721672,0.07476149190763251,0.03238467377371785,0.11268398144088732,0.11861434123611306,0.09953292813286672,0.07794125344493677,0.07016296775858637,0.11226732326129917,0.08436858174353658,0.01787045199419993,0.08819252611360408,0.1368094126334796,0.09391087021215662,0.023751476347771153,0.02262323400579925,0.08796559618932556,0.028437761592201717,0.03965834327267131,0.06982245055111078,0.07782132994314722,0.09704637387133536,0.0836332126810713,0.08716865263511626,0.024491418314840866,0.07980936133070156,0.053995702147131924,0.02290174664075789,0.017508495371708645,0.06180439270798216,0.06874863181100578,0.10158440694693256,0.11424718360402261,0.096097775652421,0.06257464758245163,0.09657735864632416,0.1467015298590094,0.07641877986306614,0.10164294355547587,0.10933278053986868,0.057122610688287424,0.12379043170994633
GO:0030163,0.06296422986708367,0.10266219803823937,0.04037745363603221,0.08551501778183582,0.11125528489967189,0.31560215564745253,0.08343554534792808,0.12622882792788132,0.09679892044080057,0.10124261474737706,0.12961522118330498,0.12361723481825204,0.09679058661860832,0.05564874642546449,0.16116993667600954,0.06711312384418108,0.11691030140131504,0.10523296464813074,0.08049108519958048,0.05209980718819732,0.15340002496478183,0.18019650849694183,0.09991387121283364,0.03668052331921626,0.11584820616983658,0.031923788330048074,0.126748095092043,0.10441236196009551,0.03206012587541225,0.08177322798330879,0.13338522507070055,0.13772322784845087,0.09350815639303935,0.05165281023768207,0.07345612227630129,0.08027067071407921,0.11412222453820882,0.13255188652894906,0.08918327061871568,0.10380556208073963,0.09504065154419894,0.05197950590898045,0.1224592267980164,0.06562579281183932,0.12364915272300969,0.1281671218720012,0.057123732426713356,0.10045793145533918,0.06236727327417657,0.10966343221027039,0.07108120749018083,0.11578574232198954,0.08769510369895232,0.04032869390380209,0.10639901075943801,0.08773655513265935,0.12212643035354508,0.09691174199560422,0.1152640669717715,0.16609374817309153,0.13448002963561662,0.02903300521134916,0.1307690300307063,0.10835257705506912,0.10717559895160654,0.04989727494470332,0.04389774771979897,0.11359719328408928,0.05681738514861812,0.07237463351146416,0.08150820127884348,0.08735393246296416,0.10202319122562019,0.07073949846238954,0.13664490373525948,0.050846155655016184,0.1037124677429873,0.09284706592562943,0.03005395155518503,0.034972619419917625,0.1111651782687253,0.11133020572868667,0.1331867184855022,0.15735830739500703,0.0996299453433677,0.08440398129522715,0.16591870752660598,0.13345044288096747,0.07861700621331147,0.10358794778141468,0.10356816735187561,0.10371065442788659,0.13040166002692088
GO:0006520,0.07479160488945999,0.02925544941058641,0.09824949749382998,0.029881737242828204,0.04602648499734221,0.08343554534792808,0.5307275452553903,0.04977957529945678,0.1515946204742885,0.17205013401559455,0.07449432276478253,0.19713725271882399,0.04002633772528912,0.2202634574727598,0.11880639982284227,0.2060516514298027,0.16117065329785304,0.10254685175633349,0.05189378186467045,0.04943633425798799,0.12018768046198268,0.12232545772095042,0.03248081101081679,0.06635485318782038,0.09090208989131796,0.07491413533163835,0.1876831201716498,0.21565557729941293,0.0650949953660797,0.09498560824117558,0.06656184425103605,0.12729939868097762,0.04210271901851845,0.07976099440720916,0.05018616629182468,0.10658983273091156,0.16699539776462854,0.14712279263528605,0.09897872901836849,0.047882677917182204,0.1434978648281127,0.06629187439351618,0.06820359839442443,0.05994069971015216,0.1703967446592065,0.1434210351736125,0.030718963590839463,0.06952599502025344,0.05425075506565611,0.138223683654407,0.1951202460850112,0.15046623240649,0.09087382785856724,0.05710233404248759,0.037892574452775,0.06376575936973972,0.09699494457133308,0.07770565453831252,0.1496737630053937,0.11057435407071203,0.08864594137489605,0.07468524630240801,0.11573236889692586,0.040330318656877986,0.05492359712973001,0.09446984294908124,0.13633871137825582,0.05507818526686451,0.128628026783793,0.1976799066000944,0.10065376780579639,0.09263095268326484,0.043920648406629716,0.029900374749434314,0.15099077828002755,0.1669548468996914,0.06597053227733286,0.19941414423211049,0.024375799595559407,0.14574070430847924,0.21040288424516085,0.1250865888239369,0.06356544090977699,0.10921657788748863,0.036318313279493086,0.1322270625549314,0.10671504031581387,0.0633004147768647,0.04635529855445984,0.07277546054918317,0.0669930800365583,0.21490554870035414,0.051240862501148336
GO:0140110,0.04885345303492403,0.12734266608932016,0.019773002736108783,0.12359932757966567,0.12433149584000251,0.12622882792788132,0.04977957529945678,0.3350814834249042,0.054004500507730195,0.04729312848969331,0.11073590676093953,0.08304656018840756,0.13001578741705794,0.031707636550717934,0.11908763868772768,0.038187946847620065,0.10213162302960332,0.0767915386492314,0.08332606703490586,0.05684255724011813,0.10652884925545955,0.16121936159535058,0.2595164342376871,0.02173565999554008,0.09226716660821507,0.021612058565190218,0.07240470229430332,0.053234386453930874,0.019527218140821246,0.05257330316974956,0.14347423774770873,0.08601922355504017,0.1170363013034778,0.03338634075626702,0.08786164817218309,0.04060914103648392,0.07847907898502383,0.09142940298604108,0.052812768008820066,0.11050138342146794,0.05649187702364875,0.030809821109334296,0.11190144851258631,0.05777640561899024,0.09564644673512734,0.08298020813632911,0.07819146672428412,0.09032188097431151,0.058426232896326626,0.08181061117903422,0.0419777774757651,0.07156085211523798,0.07833519882803039,0.036385262165510135,0.27087781215122503,0.07877425324381117,0.12783435339415677,0.10651345514846275,0.071836106526297,0.10461353795888009,0.08750408546250504,0.019205108694637922,0.08582633409609271,0.11716887295114255,0.11267928352530429,0.02235420892494929,0.024118231739720903,0.11049355718510337,0.025508789722785665,0.047554275181855274,0.04957117844089635,0.0696582517873167,0.11121946865677755,0.09398340954801525,0.081015433534893,0.02804036961094986,0.10056211054386761,0.052408041303402236,0.023666581066897164,0.021141388827205534,0.055249108116607985,0.07526820560700859,0.1030200003580169,0.1259460958905902,0.13176847363975164,0.07076534588815002,0.09752284420802959,0.1430051628347357,0.09756089523366997,0.08257997505359094,0.09419883223142993,0.04475326621294058,0.16271901082469006
GO:0032200,0.08478660209461555,0.030499113483640452,0.11596501345636294,0.02923482881754324,0.0566523445626063,0.09679892044080057,0.1515946204742885,0.054004500507730195,0.697257202001035,0.23008421748975905,0.11511888111888112,0.13478536915186595,0.04059703513871092,0.123177304964539,0.261503334686064,0.22435490435490435,0.08171276246857104,0.10763766808831547,0.06482773888050909,0.0457956100859183,0.14664936349029786,0.2116658093510572,0.036762383171927454,0.14842800069480633,0.11242132512881589,0.08271772551211916,0.30564897231855065,0.17452229299363056,0.07832395617411904,0.22836319465532948,0.0736456385839411,0.24807756400545372,0.042362417322802236,0.09870941959143374,0.03326238591939075,0.20770657623974728,0.20850344071447854,0.3502627123847618,0.13061823023498506,0.03663608439091424,0.38635004563623204,0.07663425435640704,0.08316694421200597,0.10196318660482483,0.10642461035549589,0.1379316408396527,0.025670991646635413,0.06442017576556679,0.05161473590767865,0.10320239267607689,0.23215725944253823,0.3005316140708065,0.07305741195185117,0.06159952005168674,0.046301022983234845,0.09022664258046383,0.0611011816967152,0.04673090668733562,0.36551295102363984,0.12874107947065752,0.07945208643729139,0.08121758121758121,0.15649008416875704,0.0405559906490343,0.07220103458846175,0.13723851315270136,0.11079311010833494,0.0575676532769556,0.21075956866927362,0.10651932005678984,0.1678950227954551,0.09804211960546193,0.04261720348827046,0.02267008623011414,0.2430969737132759,0.1331084587441619,0.06112799372847466,0.19556120557232903,0.030611872146118723,0.11343161343161343,0.2655178127589064,0.3272456749423812,0.0628997569664081,0.15915042705401644,0.034697744599532274,0.0869774943849018,0.1268489261345423,0.0747734086675945,0.031470603105973924,0.08654123344800416,0.07580587288910495,0.3215458360402437,0.04980072512662726
GO:0006457,0.08887331322656924,0.030870918616172832,0.12638076673164392,0.02929657490577217,0.05604026552918291,0.10124261474737706,0.17205013401559455,0.04729312848969331,0.23008421748975905,0.5559496147731442,0.09650388967277013,0.1604969995616488,0.0414414960675676,0.1477348373900098,0.14256642915071838,0.23158603054976112,0.1036895550944689,0.1148913322594953,0.06441946899507407,0.044838784241060095,0.1463191630197197,0.1387503954303842,0.03174203321563754,0.11684208688973835,0.10993231445476352,0.08350624114876659,0.25616512764801735,0.18361126053433746,0.07806932296728215,0.13399271128780715,0.07225097353789318,0.17014945146776322,0.04368667451148671,0.11834673263244692,0.040481795747721754,0.1688599645237068,0.17568338754779433,0.17982595369711565,0.1368143957252868,0.05032792932482197,0.2008879023307436,0.07687900235928548,0.08504040519158343,0.09209833926203456,0.12609671360674385,0.15715100876299165,0.027066190219184598,0.07123812727075253,0.06057466067828044,0.11630246932151321,0.1975224457324696,0.19760063171314135,0.07949936400508796,0.05696177366382772,0.03684594747504243,0.08624091381100726,0.0743936322377891,0.05605897302835549,0.1988234628655467,0.1468953667810344,0.09932710874453861,0.07770758949006683,0.15619358478401033,0.04634959412337124,0.061502124319320214,0.14169836652494966,0.12908865739054418,0.058957230674889796,0.20554332083407734,0.1281716455391044,0.1479720307781824,0.10200120473863865,0.049972840847365564,0.02746132530623996,0.20889773340528872,0.14892640149370226,0.06257634125716434,0.24523072956947667,0.027507366110116123,0.11070869581043206,0.28259649323096536,0.1583688860575407,0.07290591998343249,0.13885708020660753,0.03326583607032021,0.09163637604737282,0.1375335574842964,0.07112267235252309,0.038125863481297456,0.09165752619349979,0.0758995704123094,0.3058014184397163,0.05184948670277261
