	M	N	n	x	P-value	stat	Network	direction	Name
Brain - Substantia nigra	19056	72	2968	2	0.0009027460476237	0.1543011270590502	havugimana	-1	Brain - Substantia nigra
Breast - Mammary Tissue	19056	70	2968	4	0.019751838326026	0.3276080644501697	havugimana	-1	Breast - Mammary Tissue
Cells - Cultured fibroblasts	19056	413	2968	85	0.0059754356058352	1.4166307115724643	havugimana	1	Cells - Cultured fibroblasts
Cells - EBV-transformed lymphocytes	19056	872	2968	148	0.2511491592780731	1.1137259511774618	havugimana	1	Cells - EBV-transformed lymphocytes
Cervix - Ectocervix	19056	100	2968	3	8.271722465473663e-05	0.1668016898176318	havugimana	-1	Cervix - Ectocervix
Cervix - Endocervix	19056	105	2968	2	8.635082456486246e-06	0.1046488029381534	havugimana	-1	Cervix - Endocervix
Colon - Sigmoid	19056	133	2968	9	0.0036413369123303	0.3915773637562821	havugimana	-1	Colon - Sigmoid
Colon - Transverse	19056	239	2968	5	7.626609963056393e-12	0.1143303016404602	havugimana	-1	Colon - Transverse
Esophagus - Gastroesophageal Junction	19056	53	2968	4	0.1283385531644498	0.4417362086535019	havugimana	-1	Esophagus - Gastroesophageal Junction
Esophagus - Mucosa	19056	461	2968	36	6.50095419825016e-07	0.4525062194045421	havugimana	-1	Esophagus - Mucosa
Esophagus - Muscularis	19056	95	2968	13	0.7761947245518271	0.8587264248277	havugimana	-1	Esophagus - Muscularis
Fallopian Tube	19056	108	2968	3	2.6397238303911707e-05	0.1540158997831847	havugimana	-1	Fallopian Tube
Heart - Atrial Appendage	19056	147	2968	7	8.009944662369767e-05	0.2693009118541033	havugimana	-1	Heart - Atrial Appendage
Heart - Left Ventricle	19056	121	2968	9	0.0113318393921044	0.4338579635977405	havugimana	-1	Heart - Left Ventricle
Kidney - Cortex	19056	228	2968	5	3.5763967173235205e-11	0.1200531518019701	havugimana	-1	Kidney - Cortex
Kidney - Medulla	19056	250	2968	3	1.0013066097386767e-14	0.0648906609499491	havugimana	-1	Kidney - Medulla
Liver	19056	496	2968	26	6.46128721489892e-13	0.2936690918032312	havugimana	-1	Liver
Lung	19056	303	2968	12	1.3469459443356618e-10	0.2203730312626424	havugimana	-1	Lung
Minor Salivary Gland	19056	233	2968	14	1.0365760189701908e-05	0.3434179488844164	havugimana	-1	Minor Salivary Gland
Muscle - Skeletal	19056	335	2968	35	0.0076931041757875	0.6280031821797931	havugimana	-1	Muscle - Skeletal
Nerve - Tibial	19056	284	2968	8	2.457757350181177e-12	0.1548374461417939	havugimana	-1	Nerve - Tibial
Ovary	19056	190	2968	6	5.1093485908088954e-08	0.1750873381675131	havugimana	-1	Ovary
Pancreas	19056	156	2968	5	1.1118121273095598e-06	0.1781016644576711	havugimana	-1	Pancreas
Pituitary	19056	384	2968	9	6.8394788204528736e-18	0.1274457587022642	havugimana	-1	Pituitary
Prostate	19056	127	2968	5	6.269543711760509e-05	0.2208384280442396	havugimana	-1	Prostate
Skin - Not Sun Exposed (Suprapubic)	19056	525	2968	22	8.071652926292428e-17	0.2313815680256546	havugimana	-1	Skin - Not Sun Exposed (Suprapubic)
Skin - Sun Exposed (Lower leg)	19056	539	2968	25	9.906113280942177e-16	0.2573871125971936	havugimana	-1	Skin - Sun Exposed (Lower leg)
Small Intestine - Terminal Ileum	19056	334	2968	2	6.13405884791044e-22	0.0320012348788275	havugimana	-1	Small Intestine - Terminal Ileum
Spleen	19056	661	2968	11	1.596293084450013e-34	0.0883525402564969	havugimana	-1	Spleen
Stomach	19056	147	2968	3	1.2064018660811146e-07	0.1120292299044407	havugimana	-1	Stomach
Testis	19056	2478	2968	111	5.899396279122362e-76	0.2252165206485926	havugimana	-1	Testis
Thyroid	19056	289	2968	11	2.33038665881401e-10	0.2115575040812801	havugimana	-1	Thyroid
Uterus	19056	104	2968	5	0.001001847652325	0.2725363660226974	havugimana	-1	Uterus
Vagina	19056	269	2968	15	6.436211445264794e-07	0.3166538232839418	havugimana	-1	Vagina
Whole Blood	19056	565	2968	31	8.368101780226123e-14	0.3074387352887542	havugimana	-1	Whole Blood
Adipose - Subcutaneous	19056	141	5208	5	1.3521853124396857e-13	0.0968898033939695	hein	-1	Adipose - Subcutaneous
Adipose - Visceral (Omentum)	19056	123	5208	7	1.2966082049970154e-09	0.1593261242864435	hein	-1	Adipose - Visceral (Omentum)
Adrenal Gland	19056	166	5208	19	7.348184960125834e-07	0.3412753037233394	hein	-1	Adrenal Gland
Artery - Aorta	19056	261	5208	31	1.6907343811804187e-09	0.3545430877375683	hein	-1	Artery - Aorta
Artery - Coronary	19056	124	5208	10	1.3532094323894278e-07	0.2317693039833134	hein	-1	Artery - Coronary
Artery - Tibial	19056	222	5208	31	2.1852054881852786e-06	0.4281593880302223	hein	-1	Artery - Tibial
Bladder	19056	46	5208	6	0.0304439863742146	0.3981545559400231	hein	-1	Bladder
Brain - Amygdala	19056	66	5208	2	4.511724910589841e-07	0.0827410679984633	hein	-1	Brain - Amygdala
Brain - Anterior cingulate cortex (BA24)	19056	231	5208	11	4.702047271478596e-19	0.1311141042909371	hein	-1	Brain - Anterior cingulate cortex (BA24)
Brain - Caudate (basal ganglia)	19056	184	5208	6	4.895518962033756e-18	0.0885787229630781	hein	-1	Brain - Caudate (basal ganglia)
Brain - Cerebellar Hemisphere	19056	943	5208	93	1.2621201907497856e-41	0.2780320855614973	hein	-1	Brain - Cerebellar Hemisphere
Brain - Cerebellum	19056	898	5208	75	9.386924562898364e-48	0.2312426277542284	hein	-1	Brain - Cerebellum
Brain - Cortex	19056	447	5208	26	6.757724684492242e-32	0.1600194717508349	hein	-1	Brain - Cortex
Brain - Frontal Cortex (BA9)	19056	595	5208	44	2.00795284950184e-35	0.2056214951760126	hein	-1	Brain - Frontal Cortex (BA9)
Brain - Hippocampus	19056	53	5208	0	6.670928974499198e-08	0.0	hein	-1	Brain - Hippocampus
Brain - Hypothalamus	19056	183	5208	5	6.084989570380812e-19	0.0738014153459434	hein	-1	Brain - Hypothalamus
Brain - Nucleus accumbens (basal ganglia)	19056	274	5208	10	2.995673180374006e-25	0.0989891216901605	hein	-1	Brain - Nucleus accumbens (basal ganglia)
Brain - Putamen (basal ganglia)	19056	99	5208	3	2.1962167608384447e-10	0.082564841498559	hein	-1	Brain - Putamen (basal ganglia)
Brain - Spinal cord (cervical c-1)	19056	287	5208	34	2.0556973202577047e-10	0.3531109484790936	hein	-1	Brain - Spinal cord (cervical c-1)
Brain - Substantia nigra	19056	72	5208	6	9.349797360025555e-05	0.2408514207822166	hein	-1	Brain - Substantia nigra
Breast - Mammary Tissue	19056	70	5208	3	1.1359690380406416e-06	0.1185513355413136	hein	-1	Breast - Mammary Tissue
Cells - Cultured fibroblasts	19056	413	5208	151	3.433440214311362e-05	1.5483684470320789	hein	1	Cells - Cultured fibroblasts
Cells - EBV-transformed lymphocytes	19056	872	5208	290	8.340577263097738e-05	1.344084218293414	hein	1	Cells - EBV-transformed lymphocytes
Cervix - Ectocervix	19056	100	5208	4	1.5118224934175112e-09	0.1101076095311299	hein	-1	Cervix - Ectocervix
Cervix - Endocervix	19056	105	5208	4	3.916164527706287e-10	0.1046186863113674	hein	-1	Cervix - Endocervix
Colon - Sigmoid	19056	133	5208	16	3.269613725663366e-05	0.3616609379321244	hein	-1	Colon - Sigmoid
Colon - Transverse	19056	239	5208	15	1.278932771680201e-16	0.1756829248163736	hein	-1	Colon - Transverse
Esophagus - Gastroesophageal Junction	19056	53	5208	8	0.0451899824801657	0.4718974358974359	hein	-1	Esophagus - Gastroesophageal Junction
Esophagus - Mucosa	19056	461	5208	68	1.0771738243702992e-10	0.4529361095434698	hein	-1	Esophagus - Mucosa
Esophagus - Muscularis	19056	95	5208	21	0.2988886825015163	0.7535835430572273	hein	-1	Esophagus - Muscularis
Fallopian Tube	19056	108	5208	5	1.499748051574579e-09	0.1282400556810951	hein	-1	Fallopian Tube
Heart - Atrial Appendage	19056	147	5208	11	2.051377472225914e-09	0.2134036604828577	hein	-1	Heart - Atrial Appendage
Heart - Left Ventricle	19056	121	5208	12	3.082279280881656e-06	0.2910990105303303	hein	-1	Heart - Left Ventricle
Kidney - Cortex	19056	228	5208	4	4.8407688759562896e-26	0.0467497529373009	hein	-1	Kidney - Cortex
Kidney - Medulla	19056	250	5208	8	3.3072930955937673e-24	0.0864971392244119	hein	-1	Kidney - Medulla
Liver	19056	496	5208	38	7.960736421259146e-29	0.2148860152204944	hein	-1	Liver
Lung	19056	303	5208	11	1.0164846162500184e-27	0.0982626963395636	hein	-1	Lung
Minor Salivary Gland	19056	233	5208	19	2.3380041444645373e-13	0.2332810420317602	hein	-1	Minor Salivary Gland
Muscle - Skeletal	19056	335	5208	51	1.6427704153799808e-07	0.4723266884611918	hein	-1	Muscle - Skeletal
Nerve - Tibial	19056	284	5208	26	3.057600164508279e-14	0.2642869324046565	hein	-1	Nerve - Tibial
Ovary	19056	190	5208	13	9.656658187898326e-13	0.1932790655943622	hein	-1	Ovary
Pancreas	19056	156	5208	5	2.477350890116848e-15	0.0871695264957939	hein	-1	Pancreas
Pituitary	19056	384	5208	9	1.8892316979899557e-40	0.0621950375072129	hein	-1	Pituitary
Prostate	19056	127	5208	5	7.603672989481365e-12	0.1081185822807144	hein	-1	Prostate
Skin - Not Sun Exposed (Suprapubic)	19056	525	5208	53	1.041485363385383e-22	0.2913610284568216	hein	-1	Skin - Not Sun Exposed (Suprapubic)
Skin - Sun Exposed (Lower leg)	19056	539	5208	57	6.427013088534988e-22	0.3068581937520088	hein	-1	Skin - Sun Exposed (Lower leg)
Small Intestine - Terminal Ileum	19056	334	5208	12	1.2792281066065194e-30	0.0970120350580236	hein	-1	Small Intestine - Terminal Ileum
Spleen	19056	661	5208	33	1.7184302262208163e-51	0.1342379765531247	hein	-1	Spleen
Stomach	19056	147	5208	7	2.152105063370951e-12	0.1317823495481638	hein	-1	Stomach
Testis	19056	2478	5208	274	3.3389174429802995e-98	0.2933877822465253	hein	-1	Testis
Thyroid	19056	289	5208	24	5.823770547894544e-16	0.2372990915443745	hein	-1	Thyroid
Uterus	19056	104	5208	8	7.30695157666211e-07	0.2203846153846153	hein	-1	Uterus
Vagina	19056	269	5208	30	1.2254171472366322e-10	0.3299039547748682	hein	-1	Vagina
Whole Blood	19056	565	5208	58	6.1091815881029226e-24	0.2963474464295972	hein	-1	Whole Blood
Adipose - Subcutaneous	19056	141	8934	65	0.8659116941591827	0.968764650378907	hi.union	-1	Adipose - Subcutaneous
Adipose - Visceral (Omentum)	19056	123	8934	54	0.5268327288632778	0.8859870740305523	hi.union	-1	Adipose - Visceral (Omentum)
Adrenal Gland	19056	166	8934	70	0.2414744782937196	0.8247546254512635	hi.union	-1	Adrenal Gland
Artery - Aorta	19056	261	8934	109	0.1043236977639452	0.8101461159982108	hi.union	-1	Artery - Aorta
Artery - Coronary	19056	124	8934	41	0.0020536751702239	0.5576323059018938	hi.union	-1	Artery - Coronary
Artery - Tibial	19056	222	8934	99	0.4996395318201349	0.9109197068201582	hi.union	-1	Artery - Tibial
Bladder	19056	46	8934	20	0.6606738514358932	0.8712310798916139	hi.union	-1	Bladder
Brain - Amygdala	19056	66	8934	25	0.1737474030504808	0.6899709529141537	hi.union	-1	Brain - Amygdala
Brain - Anterior cingulate cortex (BA24)	19056	231	8934	97	0.1445067404404018	0.818164467917288	hi.union	-1	Brain - Anterior cingulate cortex (BA24)
Brain - Caudate (basal ganglia)	19056	184	8934	65	0.0017552431408544	0.6160585781273835	hi.union	-1	Brain - Caudate (basal ganglia)
Brain - Cerebellar Hemisphere	19056	943	8934	388	0.0002978465628316	0.78262123579231	hi.union	-1	Brain - Cerebellar Hemisphere
Brain - Cerebellum	19056	898	8934	365	0.000123326068176	0.7663176549177989	hi.union	-1	Brain - Cerebellum
Brain - Cortex	19056	447	8934	174	0.0006508496767277	0.7165964172813488	hi.union	-1	Brain - Cortex
Brain - Frontal Cortex (BA9)	19056	595	8934	242	0.0020070073751	0.7704971782199516	hi.union	-1	Brain - Frontal Cortex (BA9)
Brain - Hippocampus	19056	53	8934	23	0.6800426153787179	0.8682751655257547	hi.union	-1	Brain - Hippocampus
Brain - Hypothalamus	19056	183	8934	80	0.4133113669063286	0.8788962698007153	hi.union	-1	Brain - Hypothalamus
Brain - Nucleus accumbens (basal ganglia)	19056	274	8934	104	0.0027947854184413	0.6894997002198388	hi.union	-1	Brain - Nucleus accumbens (basal ganglia)
Brain - Putamen (basal ganglia)	19056	99	8934	29	0.0003830096150754	0.4676473891072431	hi.union	-1	Brain - Putamen (basal ganglia)
Brain - Spinal cord (cervical c-1)	19056	287	8934	128	0.4392749871004057	0.9108026688492836	hi.union	-1	Brain - Spinal cord (cervical c-1)
Brain - Substantia nigra	19056	72	8934	32	0.7234766306463081	0.906043585711076	hi.union	-1	Brain - Substantia nigra
Breast - Mammary Tissue	19056	70	8934	39	0.1505423511185477	1.4272208018277757	hi.union	1	Breast - Mammary Tissue
Cells - Cultured fibroblasts	19056	413	8934	180	0.1786065387130621	0.8726948612577843	hi.union	-1	Cells - Cultured fibroblasts
Cells - EBV-transformed lymphocytes	19056	872	8934	421	0.4046051360608511	1.0604600294371749	hi.union	1	Cells - EBV-transformed lymphocytes
Cervix - Ectocervix	19056	100	8934	36	0.0344029148455788	0.6358310856372218	hi.union	-1	Cervix - Ectocervix
Cervix - Endocervix	19056	105	8934	34	0.0031050786573339	0.5408039246716253	hi.union	-1	Cervix - Endocervix
Colon - Sigmoid	19056	133	8934	55	0.2222823347013347	0.7976469976695227	hi.union	-1	Colon - Sigmoid
Colon - Transverse	19056	239	8934	93	0.0131720583377911	0.7187620566073695	hi.union	-1	Colon - Transverse
Esophagus - Gastroesophageal Junction	19056	53	8934	14	0.0034031405151578	0.405777854432563	hi.union	-1	Esophagus - Gastroesophageal Junction
Esophagus - Mucosa	19056	461	8934	212	0.7057273098809809	0.963761489434003	hi.union	-1	Esophagus - Mucosa
Esophagus - Muscularis	19056	95	8934	36	0.0806012131609046	0.6900579448438232	hi.union	-1	Esophagus - Muscularis
Fallopian Tube	19056	108	8934	45	0.2888183796210373	0.8083023962200473	hi.union	-1	Fallopian Tube
Heart - Atrial Appendage	19056	147	8934	71	0.7406506967950494	1.058905443683676	hi.union	1	Heart - Atrial Appendage
Heart - Left Ventricle	19056	121	8934	63	0.2731333319542388	1.232283418655907	hi.union	1	Heart - Left Ventricle
Kidney - Cortex	19056	228	8934	104	0.7386653324615114	0.949651116063274	hi.union	-1	Kidney - Cortex
Kidney - Medulla	19056	250	8934	104	0.0972609512176405	0.80477823112366	hi.union	-1	Kidney - Medulla
Liver	19056	496	8934	195	0.000619712177461	0.7280514773389537	hi.union	-1	Liver
Lung	19056	303	8934	120	0.0106511186124968	0.7394346550011718	hi.union	-1	Lung
Minor Salivary Gland	19056	233	8934	110	0.9473797295992096	1.0133947327687238	hi.union	1	Minor Salivary Gland
Muscle - Skeletal	19056	335	8934	183	0.0047832435641149	1.3716552694729625	hi.union	1	Muscle - Skeletal
Nerve - Tibial	19056	284	8934	109	0.003982957673499	0.7020464589235127	hi.union	-1	Nerve - Tibial
Ovary	19056	190	8934	76	0.0576909990117415	0.753217430571235	hi.union	-1	Ovary
Pancreas	19056	156	8934	60	0.0361912179968589	0.7061359026369168	hi.union	-1	Pancreas
Pituitary	19056	384	8934	163	0.0792710274489763	0.8325786696285734	hi.union	-1	Pituitary
Prostate	19056	127	8934	53	0.2477700810741162	0.8103299786668776	hi.union	-1	Prostate
Skin - Not Sun Exposed (Suprapubic)	19056	525	8934	258	0.3077944204450692	1.0976036178842836	hi.union	1	Skin - Not Sun Exposed (Suprapubic)
Skin - Sun Exposed (Lower leg)	19056	539	8934	262	0.4307457650675637	1.0737865839849734	hi.union	1	Skin - Sun Exposed (Lower leg)
Small Intestine - Terminal Ileum	19056	334	8934	131	0.0047519514478868	0.7271306411999044	hi.union	-1	Small Intestine - Terminal Ileum
Spleen	19056	661	8934	313	0.8119858631231021	1.0197172901775535	hi.union	1	Spleen
Stomach	19056	147	8934	66	0.678479344185922	0.9225930937703604	hi.union	-1	Stomach
Testis	19056	2478	8934	1046	6.102645819884172e-07	0.8047139704465874	hi.union	-1	Testis
Thyroid	19056	289	8934	97	4.311170662503098e-06	0.5676947776394704	hi.union	-1	Thyroid
Uterus	19056	104	8934	42	0.2006258008361983	0.7664011144486527	hi.union	-1	Uterus
Vagina	19056	269	8934	126	1.0	0.998261275509232	hi.union	-1	Vagina
Whole Blood	19056	565	8934	279	0.2310626067871311	1.108637636193962	hi.union	1	Whole Blood
Adipose - Subcutaneous	19056	141	15887	123	0.2559029932447692	1.3658864078491078	hint.updated.combined	1	Adipose - Subcutaneous
Adipose - Visceral (Omentum)	19056	123	15887	105	0.6277201205056555	1.1646707219194865	hint.updated.combined	1	Adipose - Visceral (Omentum)
Adrenal Gland	19056	166	15887	135	0.4641417586510291	0.8675396058257835	hint.updated.combined	-1	Adrenal Gland
Artery - Aorta	19056	261	15887	218	1.0	1.011429767263757	hint.updated.combined	1	Artery - Aorta
Artery - Coronary	19056	124	15887	100	0.3979064934160766	0.8300605983826355	hint.updated.combined	-1	Artery - Coronary
Artery - Tibial	19056	222	15887	194	0.1226143485587053	1.3867739028320178	hint.updated.combined	1	Artery - Tibial
Bladder	19056	46	15887	38	0.8434555301829766	0.9473626096283676	hint.updated.combined	-1	Bladder
Brain - Amygdala	19056	66	15887	45	0.0023467175575777	0.4258120367197504	hint.updated.combined	-1	Brain - Amygdala
Brain - Anterior cingulate cortex (BA24)	19056	231	15887	180	0.0323341950648291	0.7006243001434355	hint.updated.combined	-1	Brain - Anterior cingulate cortex (BA24)
Brain - Caudate (basal ganglia)	19056	184	15887	136	0.0009783256055916	0.5614140901106808	hint.updated.combined	-1	Brain - Caudate (basal ganglia)
Brain - Cerebellar Hemisphere	19056	943	15887	739	4.29957082215907e-05	0.7090611198268587	hint.updated.combined	-1	Brain - Cerebellar Hemisphere
Brain - Cerebellum	19056	898	15887	694	1.3405523338049823e-06	0.6639119150589217	hint.updated.combined	-1	Brain - Cerebellum
Brain - Cortex	19056	447	15887	345	0.0006326215482053	0.6674608461323018	hint.updated.combined	-1	Brain - Cortex
Brain - Frontal Cortex (BA9)	19056	595	15887	466	0.0011497848055221	0.7121266731312229	hint.updated.combined	-1	Brain - Frontal Cortex (BA9)
Brain - Hippocampus	19056	53	15887	33	0.0002481204056015	0.3277311719439889	hint.updated.combined	-1	Brain - Hippocampus
Brain - Hypothalamus	19056	183	15887	133	0.0002847760094858	0.52663069696585	hint.updated.combined	-1	Brain - Hypothalamus
Brain - Nucleus accumbens (basal ganglia)	19056	274	15887	200	1.259053244519406e-05	0.5332354729945091	hint.updated.combined	-1	Brain - Nucleus accumbens (basal ganglia)
Brain - Putamen (basal ganglia)	19056	99	15887	66	5.724326700728845e-05	0.396435117881297	hint.updated.combined	-1	Brain - Putamen (basal ganglia)
Brain - Spinal cord (cervical c-1)	19056	287	15887	231	0.2007265391124309	0.8202047138477261	hint.updated.combined	-1	Brain - Spinal cord (cervical c-1)
Brain - Substantia nigra	19056	72	15887	55	0.1134929083124854	0.644116160865559	hint.updated.combined	-1	Brain - Substantia nigra
Breast - Mammary Tissue	19056	70	15887	58	0.8725470131974673	0.9639796154737086	hint.updated.combined	-1	Breast - Mammary Tissue
Cells - Cultured fibroblasts	19056	413	15887	381	1.457832555172406e-07	2.4087389558880434	hint.updated.combined	1	Cells - Cultured fibroblasts
Cells - EBV-transformed lymphocytes	19056	872	15887	800	2.5066633423202613e-13	2.280845172076033	hint.updated.combined	1	Cells - EBV-transformed lymphocytes
Cervix - Ectocervix	19056	100	15887	81	0.5016834234145631	0.8496107407580066	hint.updated.combined	-1	Cervix - Ectocervix
Cervix - Endocervix	19056	105	15887	84	0.3571420361430398	0.7968107321394672	hint.updated.combined	-1	Cervix - Endocervix
Colon - Sigmoid	19056	133	15887	109	0.640588420010624	0.905282143913466	hint.updated.combined	-1	Colon - Sigmoid
Colon - Transverse	19056	239	15887	177	0.0002228086271683	0.5646075029260179	hint.updated.combined	-1	Colon - Transverse
Esophagus - Gastroesophageal Junction	19056	53	15887	37	0.0145182197989136	0.4600197160883281	hint.updated.combined	-1	Esophagus - Gastroesophageal Junction
Esophagus - Mucosa	19056	461	15887	367	0.031226821762301	0.7735557413906559	hint.updated.combined	-1	Esophagus - Mucosa
Esophagus - Muscularis	19056	95	15887	76	0.4059845291563141	0.7969135412054899	hint.updated.combined	-1	Esophagus - Muscularis
Fallopian Tube	19056	108	15887	76	0.0006687229603469	0.4712146606792739	hint.updated.combined	-1	Fallopian Tube
Heart - Atrial Appendage	19056	147	15887	125	0.6571150505612584	1.134417067515659	hint.updated.combined	1	Heart - Atrial Appendage
Heart - Left Ventricle	19056	121	15887	104	0.5399175341001249	1.2217464062226298	hint.updated.combined	1	Heart - Left Ventricle
Kidney - Cortex	19056	228	15887	182	0.1521475128970614	0.7867696524230722	hint.updated.combined	-1	Kidney - Cortex
Kidney - Medulla	19056	250	15887	186	0.000298953640828	0.5747344914336666	hint.updated.combined	-1	Kidney - Medulla
Liver	19056	496	15887	420	0.4635204449702662	1.1051202390148125	hint.updated.combined	1	Liver
Lung	19056	303	15887	245	0.2431473357214316	0.8401286985966165	hint.updated.combined	-1	Lung
Minor Salivary Gland	19056	233	15887	188	0.2875139414550244	0.8313508999157767	hint.updated.combined	-1	Minor Salivary Gland
Muscle - Skeletal	19056	335	15887	290	0.1200624003775136	1.290789539298868	hint.updated.combined	1	Muscle - Skeletal
Nerve - Tibial	19056	284	15887	223	0.0301019172076754	0.7253596007970663	hint.updated.combined	-1	Nerve - Tibial
Ovary	19056	190	15887	154	0.3786750172527356	0.8518577370989499	hint.updated.combined	-1	Ovary
Pancreas	19056	156	15887	119	0.0227415579056518	0.6388374676045909	hint.updated.combined	-1	Pancreas
Pituitary	19056	384	15887	266	5.264005723845352e-12	0.440284102560764	hint.updated.combined	-1	Pituitary
Prostate	19056	127	15887	89	0.0001750139275689	0.4641810089218489	hint.updated.combined	-1	Prostate
Skin - Not Sun Exposed (Suprapubic)	19056	525	15887	416	0.0124108046560063	0.7548660144846321	hint.updated.combined	-1	Skin - Not Sun Exposed (Suprapubic)
Skin - Sun Exposed (Lower leg)	19056	539	15887	428	0.0136993087819463	0.7627406175824573	hint.updated.combined	-1	Skin - Sun Exposed (Lower leg)
Small Intestine - Terminal Ileum	19056	334	15887	233	4.498529999191129e-10	0.4521312997532026	hint.updated.combined	-1	Small Intestine - Terminal Ileum
Spleen	19056	661	15887	548	0.7497170042797308	0.9661808323626456	hint.updated.combined	-1	Spleen
Stomach	19056	147	15887	113	0.0443479491019338	0.6605340881122324	hint.updated.combined	-1	Stomach
Testis	19056	2478	15887	1745	1.4795655787238444e-67	0.4100699145270452	hint.updated.combined	-1	Testis
Thyroid	19056	289	15887	219	0.0007997011374649	0.6188053904226996	hint.updated.combined	-1	Thyroid
Uterus	19056	104	15887	80	0.0852933268374264	0.6632082832500369	hint.updated.combined	-1	Uterus
Vagina	19056	269	15887	205	0.002220877669103	0.6342113968243847	hint.updated.combined	-1	Vagina
Whole Blood	19056	565	15887	486	0.0959924014666864	1.2342943372902797	hint.updated.combined	1	Whole Blood
Adipose - Subcutaneous	19056	141	17938	136	0.2836281206865104	1.7005729693292888	hippie.2.3	1	Adipose - Subcutaneous
Adipose - Visceral (Omentum)	19056	123	17938	118	0.5609352137815699	1.474006734006734	hippie.2.3	1	Adipose - Visceral (Omentum)
Adrenal Gland	19056	166	17938	160	0.3157946554735455	1.6679791502606218	hippie.2.3	1	Adrenal Gland
Artery - Aorta	19056	261	17938	256	0.0032270777770722	3.2228028503562944	hippie.2.3	1	Artery - Aorta
Artery - Coronary	19056	124	17938	122	0.0510849675443554	3.821059721598563	hippie.2.3	1	Artery - Coronary
Artery - Tibial	19056	222	17938	217	0.0200813944674273	2.725816827492805	hippie.2.3	1	Artery - Tibial
Bladder	19056	46	17938	45	0.5226790179119868	2.8091991281506736	hippie.2.3	1	Bladder
Brain - Amygdala	19056	66	17938	61	0.5934577043848426	0.7595569726464172	hippie.2.3	-1	Brain - Amygdala
Brain - Anterior cingulate cortex (BA24)	19056	231	17938	226	0.010812905058368	2.840311653116532	hippie.2.3	1	Brain - Anterior cingulate cortex (BA24)
Brain - Caudate (basal ganglia)	19056	184	17938	170	0.3408545344001407	0.7544863960892777	hippie.2.3	-1	Brain - Caudate (basal ganglia)
Brain - Cerebellar Hemisphere	19056	943	17938	893	0.5220027382310576	1.119066001760047	hippie.2.3	1	Brain - Cerebellar Hemisphere
Brain - Cerebellum	19056	898	17938	845	0.9420106416120037	0.9933725490628956	hippie.2.3	-1	Brain - Cerebellum
Brain - Cortex	19056	447	17938	428	0.1539543194357239	1.4138447203101987	hippie.2.3	1	Brain - Cortex
Brain - Frontal Cortex (BA9)	19056	595	17938	573	0.0208123525918419	1.6438709001910845	hippie.2.3	1	Brain - Frontal Cortex (BA9)
Brain - Hippocampus	19056	53	17938	45	0.0115429017700082	0.3489493097859498	hippie.2.3	-1	Brain - Hippocampus
Brain - Hypothalamus	19056	183	17938	172	0.8742761100260013	0.9743022934512297	hippie.2.3	-1	Brain - Hypothalamus
Brain - Nucleus accumbens (basal ganglia)	19056	274	17938	254	0.2993891180349153	0.788543315991857	hippie.2.3	-1	Brain - Nucleus accumbens (basal ganglia)
Brain - Putamen (basal ganglia)	19056	99	17938	91	0.3849396623565563	0.7074718440073962	hippie.2.3	-1	Brain - Putamen (basal ganglia)
Brain - Spinal cord (cervical c-1)	19056	287	17938	271	1.0	1.0564965755363107	hippie.2.3	1	Brain - Spinal cord (cervical c-1)
Brain - Substantia nigra	19056	72	17938	65	0.1988701437193396	0.5772074397934635	hippie.2.3	-1	Brain - Substantia nigra
Breast - Mammary Tissue	19056	70	17938	66	1.0	1.0284803043867503	hippie.2.3	1	Breast - Mammary Tissue
Cells - Cultured fibroblasts	19056	413	17938	407	1.0923278010855572e-05	4.302701880478391	hippie.2.3	1	Cells - Cultured fibroblasts
Cells - EBV-transformed lymphocytes	19056	872	17938	854	5.160253847738264e-08	3.0548401363198834	hippie.2.3	1	Cells - EBV-transformed lymphocytes
Cervix - Ectocervix	19056	100	17938	100	0.0043972759877879	inf	hippie.2.3	1	Cervix - Ectocervix
Cervix - Endocervix	19056	105	17938	101	0.5294885586996676	1.576974827605539	hippie.2.3	1	Cervix - Endocervix
Colon - Sigmoid	19056	133	17938	127	0.7091790105799203	1.3215054367151386	hippie.2.3	1	Colon - Sigmoid
Colon - Transverse	19056	239	17938	220	0.1654146074138503	0.7182110372443129	hippie.2.3	-1	Colon - Transverse
Esophagus - Gastroesophageal Junction	19056	53	17938	51	0.769524734295207	1.590987868284229	hippie.2.3	1	Esophagus - Gastroesophageal Junction
Esophagus - Mucosa	19056	461	17938	441	0.1909371916007377	1.3837172086643426	hippie.2.3	1	Esophagus - Mucosa
Esophagus - Muscularis	19056	95	17938	93	0.1821870095153521	2.908041468198375	hippie.2.3	1	Esophagus - Muscularis
Fallopian Tube	19056	108	17938	99	0.2984268376379551	0.6838387802006839	hippie.2.3	-1	Fallopian Tube
Heart - Atrial Appendage	19056	147	17938	141	0.4790815133660006	1.4683373602292522	hippie.2.3	1	Heart - Atrial Appendage
Heart - Left Ventricle	19056	121	17938	117	0.3281398024030655	1.8284327478817128	hippie.2.3	1	Heart - Left Ventricle
Kidney - Cortex	19056	228	17938	214	0.7775780240255445	0.9521230293065094	hippie.2.3	-1	Kidney - Cortex
Kidney - Medulla	19056	250	17938	232	0.3428857480575416	0.8007329593232677	hippie.2.3	-1	Kidney - Medulla
Liver	19056	496	17938	479	0.0154335815602998	1.7768654629501723	hippie.2.3	1	Liver
