Interactome	Fold	Prediction Method	Test Set	P@k
PIPs	10	L3	CORUM	0.0063
PrePPI	1	L3	CORUM	0.0019
PrePPI	2	L3	CORUM	0.0027
PrePPI	3	L3	CORUM	0.0013
PrePPI	4	L3	CORUM	0.0021
PrePPI	5	L3	CORUM	0.0024
PrePPI	6	L3	CORUM	0.0027
PrePPI	7	L3	CORUM	0.0019
PrePPI	8	L3	CORUM	0.0023
PrePPI	9	L3	CORUM	0.0029
PrePPI	10	L3	CORUM	0.0021
PROPER	1	L3	CORUM	0.0117
PROPER	2	L3	CORUM	0.0113
PROPER	3	L3	CORUM	0.0111
PROPER	4	L3	CORUM	0.0116
PROPER	5	L3	CORUM	0.0112
PROPER	6	L3	CORUM	0.0112
PROPER	7	L3	CORUM	0.0104
PROPER	8	L3	CORUM	0.0114
PROPER	9	L3	CORUM	0.0112
PROPER	10	L3	CORUM	0.0117
ProteomeHD	1	L3	CORUM	0.0360
ProteomeHD	2	L3	CORUM	0.0297
ProteomeHD	3	L3	CORUM	0.0352
ProteomeHD	4	L3	CORUM	0.0295
ProteomeHD	5	L3	CORUM	0.0307
ProteomeHD	6	L3	CORUM	0.0369
ProteomeHD	7	L3	CORUM	0.0264
ProteomeHD	8	L3	CORUM	0.0300
ProteomeHD	9	L3	CORUM	0.0251
ProteomeHD	10	L3	CORUM	0.0269
PTMCode2	1	L3	CORUM	0.1016
PTMCode2	2	L3	CORUM	0.1047
PTMCode2	3	L3	CORUM	0.1035
PTMCode2	4	L3	CORUM	0.1028
PTMCode2	5	L3	CORUM	0.1068
PTMCode2	6	L3	CORUM	0.1044
PTMCode2	7	L3	CORUM	0.1017
PTMCode2	8	L3	CORUM	0.1055
PTMCode2	9	L3	CORUM	0.1067
PTMCode2	10	L3	CORUM	0.1056
Reactome	1	L3	CORUM	0.0184
Reactome	2	L3	CORUM	0.0185
Reactome	3	L3	CORUM	0.0163
Reactome	4	L3	CORUM	0.0188
Reactome	5	L3	CORUM	0.0175
Reactome	6	L3	CORUM	0.0170
Reactome	7	L3	CORUM	0.0168
Reactome	8	L3	CORUM	0.0150
Reactome	9	L3	CORUM	0.0196
Reactome	10	L3	CORUM	0.0200
ReactomeFI(2022)	1	L3	CORUM	0.0927
ReactomeFI(2022)	2	L3	CORUM	0.0939
ReactomeFI(2022)	3	L3	CORUM	0.0893
ReactomeFI(2022)	4	L3	CORUM	0.0988
ReactomeFI(2022)	5	L3	CORUM	0.1012
ReactomeFI(2022)	6	L3	CORUM	0.0879
ReactomeFI(2022)	7	L3	CORUM	0.0909
ReactomeFI(2022)	8	L3	CORUM	0.0832
ReactomeFI(2022)	9	L3	CORUM	0.0963
ReactomeFI(2022)	10	L3	CORUM	0.0981
SignaLink	1	L3	CORUM	0.0028
