	M	N	n	x	P-value	stat	Network
skin 1	11042	120	2388	13	0.0025257654037325185	0.4372297097884899	havugimana
skin 2	11042	281	2388	36	0.00016822608770406124	0.5253436068304873	havugimana
small intestine	11042	693	2388	57	2.54510843320949e-22	0.30827727997539317	havugimana
smooth muscle	11042	286	2388	40	0.0010324673973842765	0.5822634035539674	havugimana
soft tissue 1	11042	93	2388	18	0.7043451632314631	0.8687594936708861	havugimana
soft tissue 2	11042	112	2388	15	0.037056162826585026	0.5576263896672619	havugimana
spleen	11042	400	2388	20	6.026622110285443e-21	0.18389935988620199	havugimana
stomach 1	11042	632	2388	73	1.854696023220035e-11	0.4566431107693853	havugimana
stomach 2	11042	605	2388	66	2.2438024158311864e-12	0.4279386173073881	havugimana
testis	11042	867	2388	47	1.1546983550880238e-42	0.19180775361790353	havugimana
thyroid gland	11042	282	2388	35	7.003733646425759e-05	0.5062793470649064	havugimana
tonsil	11042	435	2388	38	3.4463840336080445e-13	0.3363159869232006	havugimana
urinary bladder	11042	337	2388	62	0.15806921509683836	0.8121597748768858	havugimana
vagina	11042	234	2388	29	0.0002897209178805199	0.5066657016718535	havugimana
adrenal gland	11042	571	3892	96	1.7027278542866433e-23	0.3553879429870778	hein
appendix	11042	348	3892	54	1.1340284441293485e-16	0.32810456126171156	hein
bone marrow	11042	646	3892	119	4.508959403802153e-22	0.3963732120414148	hein
breast	11042	77	3892	16	0.008029661881741748	0.4797238999137187	hein
bronchus	11042	478	3892	78	9.313683649396663e-21	0.3451101206082853	hein
caudate	11042	504	3892	61	2.4446904344656815e-33	0.24106949779422118	hein
cerebellum	11042	297	3892	36	6.250038467115883e-20	0.24642295035055087	hein
cerebral cortex	11042	497	3892	66	2.4841895446421202e-29	0.2689220051352148	hein
cervix	11042	160	3892	24	1.3281554210005487e-08	0.32000121661901576	hein
colon	11042	271	3892	40	2.9585776196498524e-14	0.31103199327498393	hein
duodenum	11042	679	3892	115	2.005547935715373e-27	0.35554410138257503	hein
endometrium 1	11042	195	3892	24	3.4642233089110154e-13	0.25323391208113355	hein
endometrium 2	11042	148	3892	18	1.884677631682607e-10	0.2509034589571502	hein
epididymis	11042	470	3892	80	5.420827961593461e-19	0.36376355369010144	hein
esophagus	11042	294	3892	79	0.002373906920755993	0.6682951225611281	hein
fallopian tube	11042	408	3892	66	3.787261963280368e-18	0.3433937693161288	hein
gallbladder	11042	566	3892	104	1.5314599811520335e-19	0.39744556745612714	hein
heart muscle	11042	428	3892	102	2.836247182297015e-07	0.5633552940414718	hein
hippocampus	11042	460	3892	65	3.7090374665079537e-25	0.2904578726106644	hein
kidney	11042	424	3892	58	3.09315822771249e-24	0.28040169778028623	hein
liver	11042	222	3892	19	1.9656734530342e-20	0.16788324881489763	hein
lung	11042	267	3892	37	2.246440123391615e-15	0.2887723453448373	hein
lymph node	11042	456	3892	78	2.662277974209212e-18	0.3663861629252295	hein
nasopharynx	11042	363	3892	60	1.3044907999801375e-15	0.35382087269269724	hein
oral mucosa	11042	238	3892	70	0.06380932419179002	0.7611634397348683	hein
ovary	11042	134	3892	28	0.0003556079530614645	0.4815422477440525	hein
pancreas	11042	198	3892	16	3.5879223694247915e-19	0.15804216423411468	hein
parathyroid gland	11042	204	3892	38	1.722358993994438e-07	0.4148279678131311	hein
placenta	11042	412	3892	97	2.2587339457695337e-07	0.5546102850450677	hein
prostate	11042	246	3892	41	8.175947197132301e-11	0.3606855362243573	hein
rectum	11042	489	3892	101	7.369261460359974e-13	0.464313199737849	hein
salivary gland	11042	285	3892	45	2.0964625388197853e-13	0.33678840655055886	hein
seminal vesicle	11042	267	3892	50	2.4884092119366243e-09	0.41579006709734995	hein
skeletal muscle	11042	403	3892	91	2.7285748211650766e-08	0.5247084100675261	hein
skin 1	11042	120	3892	22	6.796251066948682e-05	0.4090702947845805	hein
skin 2	11042	281	3892	60	3.516614204124452e-07	0.49091244013262925	hein
small intestine	11042	693	3892	113	5.029777953704412e-30	0.3387185079066712	hein
smooth muscle	11042	286	3892	80	0.010010352857535067	0.7074236697602869	hein
soft tissue 1	11042	93	3892	22	0.021545350444083053	0.5667940459293227	hein
soft tissue 2	11042	112	3892	14	7.179079629320179e-08	0.25978044647461873	hein
spleen	11042	400	3892	45	1.0601380425396362e-28	0.22389862962542606	hein
stomach 1	11042	632	3892	105	1.5895024756504933e-26	0.34844812649286055	hein
stomach 2	11042	605	3892	105	1.9583771411201718e-23	0.3687615526802218	hein
testis	11042	867	3892	93	8.148889282628628e-66	0.2016605757124988	hein
thyroid gland	11042	282	3892	53	9.386984844444025e-10	0.41724498396712206	hein
tonsil	11042	435	3892	68	1.9825793976587395e-20	0.3286599477842509	hein
urinary bladder	11042	337	3892	89	0.0004973538809654269	0.6513088139244908	hein
vagina	11042	234	3892	69	0.0622228601044405	0.7640596390269422	hein
adrenal gland	11042	571	5575	244	0.0001519280207439722	0.7194431967655575	hi.union
appendix	11042	348	5575	154	0.01910595764395087	0.7721423178665632	hi.union
bone marrow	11042	646	5575	303	0.06216284347270368	0.8585828868725032	hi.union
breast	11042	77	5575	33	0.2082821002348404	0.7338957055214724	hi.union
bronchus	11042	478	5575	228	0.22404827990000992	0.8898268187768842	hi.union
caudate	11042	504	5575	237	0.1209812138785187	0.8646928319742697	hi.union
cerebellum	11042	297	5575	152	0.8142845891300106	1.0287523765316309	hi.union
cerebral cortex	11042	497	5575	232	0.08934277946707386	0.8523682900215058	hi.union
cervix	11042	160	5575	81	1.0	1.005534230668209	hi.union
colon	11042	271	5575	138	0.9022025548678773	1.017937523595636	hi.union
duodenum	11042	679	5575	319	0.0625687045068362	0.8609911423981058	hi.union
endometrium 1	11042	195	5575	93	0.4700488622299632	0.8923052986243749	hi.union
endometrium 2	11042	148	5575	70	0.4569371385931149	0.8785253499149956	hi.union
epididymis	11042	470	5575	210	0.010849355465928702	0.7839056563194494	hi.union
esophagus	11042	294	5575	152	0.6794911953168332	1.0510787387055136	hi.union
fallopian tube	11042	408	5575	196	0.33778757069593013	0.9032155096514397	hi.union
gallbladder	11042	566	5575	259	0.022133544119076365	0.8188910375659002	hi.union
heart muscle	11042	428	5575	190	0.010339306018620851	0.7751925282647878	hi.union
hippocampus	11042	460	5575	220	0.25309561287048377	0.8947556800497977	hi.union
kidney	11042	424	5575	207	0.4884960837731086	0.9329479351954233	hi.union
liver	11042	222	5575	96	0.03007091671871885	0.7427146072884346	hi.union
lung	11042	267	5575	121	0.09428565127912386	0.8085569972522366	hi.union
lymph node	11042	456	5575	225	0.6325940718849934	0.9532710280373832	hi.union
nasopharynx	11042	363	5575	162	0.024898851573847657	0.784082543131378	hi.union
oral mucosa	11042	238	5575	123	0.7432976263646651	1.0499473667421608	hi.union
ovary	11042	134	5575	58	0.09889219250676802	0.7457285137803726	hi.union
pancreas	11042	198	5575	105	0.4743744496327478	1.1092174323288317	hi.union
parathyroid gland	11042	204	5575	92	0.13758622446745647	0.8022524165602772	hi.union
placenta	11042	412	5575	204	0.6882836324899937	0.9603175171505092	hi.union
prostate	11042	246	5575	121	0.6991140731926314	0.9481217455078841	hi.union
rectum	11042	489	5575	228	0.08689021301019856	0.8505274200378771	hi.union
salivary gland	11042	285	5575	138	0.509230298280454	0.9185737933208965	hi.union
seminal vesicle	11042	267	5575	129	0.4957369597970523	0.9147000590780628	hi.union
skeletal muscle	11042	403	5575	184	0.0536656856191567	0.8178962231149667	hi.union
skin 1	11042	120	5575	54	0.23395027253404066	0.800398478536497	hi.union
skin 2	11042	281	5575	135	0.4321947330225133	0.9044306506849316	hi.union
small intestine	11042	693	5575	319	0.01663211083423763	0.8264896141104844	hi.union
smooth muscle	11042	286	5575	132	0.15035374186283357	0.8366709535182804	hi.union
soft tissue 1	11042	93	5575	40	0.17549887939908	0.7382181997920608	hi.union
soft tissue 2	11042	112	5575	45	0.029083813494199154	0.6558527435156946	hi.union
spleen	11042	400	5575	193	0.386589601114731	0.9112321084595817	hi.union
stomach 1	11042	632	5575	297	0.07152681555531942	0.8620429493306487	hi.union
stomach 2	11042	605	5575	273	0.007395998278777963	0.7963890643676176	hi.union
testis	11042	867	5575	383	0.00011331209732745473	0.7594682378484382	hi.union
thyroid gland	11042	282	5575	127	0.07017440307437894	0.798901046847615	hi.union
tonsil	11042	435	5575	213	0.5250993433659661	0.9385238464872929	hi.union
urinary bladder	11042	337	5575	171	0.9558945600006508	1.0104864312914128	hi.union
vagina	11042	234	5575	134	0.04033206648333516	1.3217754089321816	hi.union
adrenal gland	11042	571	10023	507	0.10189504154610264	0.7950179303278688	hint.updated.combined
appendix	11042	348	10023	303	0.01850762768030829	0.674718792866941	hint.updated.combined
bone marrow	11042	646	10023	587	1.0	1.0122071259726544	hint.updated.combined
breast	11042	77	10023	66	0.16139105768624173	0.6074118710454957	hint.updated.combined
bronchus	11042	478	10023	406	2.3932263412521366e-05	0.5552696035954848	hint.updated.combined
caudate	11042	504	10023	431	0.00010123165131107802	0.5822860374513007	hint.updated.combined
cerebellum	11042	297	10023	261	0.08397694017943277	0.7300501946322475	hint.updated.combined
cerebral cortex	11042	497	10023	442	0.15306511021852837	0.8085851733070186	hint.updated.combined
cervix	11042	160	10023	137	0.037335784938046096	0.6001108286641628	hint.updated.combined
colon	11042	271	10023	234	0.014265472991390745	0.6344352320447938	hint.updated.combined
duodenum	11042	679	10023	568	1.1150591984805211e-09	0.4914164296501684	hint.updated.combined
endometrium 1	11042	195	10023	165	0.005515288653562161	0.551785351998377	hint.updated.combined
endometrium 2	11042	148	10023	124	0.006005437571734151	0.5193285517055595	hint.updated.combined
epididymis	11042	470	10023	393	4.968116667265327e-07	0.4992596188857871	hint.updated.combined
esophagus	11042	294	10023	264	0.5399662508121579	0.8918126857259965	hint.updated.combined
fallopian tube	11042	408	10023	342	4.831810528464543e-06	0.5100994450235231	hint.updated.combined
gallbladder	11042	566	10023	500	0.04395950252864292	0.7581326230911446	hint.updated.combined
heart muscle	11042	428	10023	377	0.06025278360891069	0.7418212568046086	hint.updated.combined
hippocampus	11042	460	10023	401	0.008373583004350156	0.6781070216911104	hint.updated.combined
kidney	11042	424	10023	359	3.551341200409419e-05	0.5452209628120224	hint.updated.combined
liver	11042	222	10023	194	0.0794392641812299	0.698566922953941	hint.updated.combined
lung	11042	267	10023	246	0.5202054991466242	1.195750960709537	hint.updated.combined
lymph node	11042	456	10023	418	0.5628888010197278	1.1234773555439874	hint.updated.combined
nasopharynx	11042	363	10023	303	7.438506268077352e-06	0.49824588477366255	hint.updated.combined
oral mucosa	11042	238	10023	206	0.030576960969022748	0.6472254762147296	hint.updated.combined
ovary	11042	134	10023	116	0.09749865170704189	0.6511445330462188	hint.updated.combined
pancreas	11042	198	10023	174	0.17117185144937005	0.7324347649507564	hint.updated.combined
parathyroid gland	11042	204	10023	174	0.00987153042398478	0.5824144583206416	hint.updated.combined
placenta	11042	412	10023	376	0.7948095220975925	1.0642571668797438	hint.updated.combined
prostate	11042	246	10023	221	0.5778093121471004	0.896445623342175	hint.updated.combined
rectum	11042	489	10023	420	0.00030326295135647276	0.602166895308984	hint.updated.combined
salivary gland	11042	285	10023	249	0.04867022573643113	0.6956295614214583	hint.updated.combined
seminal vesicle	11042	267	10023	241	0.7480452530099385	0.9409472657785887	hint.updated.combined
skeletal muscle	11042	403	10023	362	0.48337714601551546	0.8938023382925062	hint.updated.combined
skin 1	11042	120	10023	109	1.0	1.007500871128065	hint.updated.combined
skin 2	11042	281	10023	247	0.09477872235687694	0.7319696495619524	hint.updated.combined
small intestine	11042	693	10023	577	1.0569744309630566e-10	0.4755077865471245	hint.updated.combined
smooth muscle	11042	286	10023	259	0.917417051817618	0.9745854006402962	hint.updated.combined
soft tissue 1	11042	93	10023	79	0.06846512266938834	0.570300827491093	hint.updated.combined
soft tissue 2	11042	112	10023	97	0.13730843861559833	0.6540936261669689	hint.updated.combined
spleen	11042	400	10023	362	0.8601480651645045	0.9673238577242195	hint.updated.combined
stomach 1	11042	632	10023	546	0.00021647006020418793	0.62503588860178	hint.updated.combined
stomach 2	11042	605	10023	517	1.2860976980929441e-05	0.5753865979381443	hint.updated.combined
testis	11042	867	10023	663	1.1253403327975332e-39	0.2829861111111111	hint.updated.combined
thyroid gland	11042	282	10023	253	0.5312297016083305	0.8840221649666467	hint.updated.combined
tonsil	11042	435	10023	393	0.7353214781873582	0.9493176086634031	hint.updated.combined
urinary bladder	11042	337	10023	303	0.5661518256446487	0.9030954974582426	hint.updated.combined
vagina	11042	234	10023	209	0.42394992002440707	0.8467332382310985	hint.updated.combined
adrenal gland	11042	571	10837	560	0.8729716527133133	0.9610162144948561	hippie.2.3
appendix	11042	348	10837	340	0.540463021668221	0.7976088406211298	hippie.2.3
bone marrow	11042	646	10837	634	1.0	0.9993956026005423	hippie.2.3
breast	11042	77	10837	75	0.6552317864962994	0.7073499349563278	hippie.2.3
bronchus	11042	478	10837	467	0.4848557516952728	0.794231612167967	hippie.2.3
caudate	11042	504	10837	496	0.8650313774281129	1.1811236824291655	hippie.2.3
cerebellum	11042	297	10837	290	0.5079701035713025	0.7777431632556313	hippie.2.3
cerebral cortex	11042	497	10837	488	1.0	1.0269161808440965	hippie.2.3
cervix	11042	160	10837	158	0.7721928950867536	1.5017323719449387	hippie.2.3
colon	11042	271	10837	267	0.8207117843905412	1.2693235572374646	hippie.2.3
duodenum	11042	679	10837	661	0.1392058131722338	0.67482857267645	hippie.2.3
endometrium 1	11042	195	10837	187	0.029033317103198376	0.4323826291079812	hippie.2.3
endometrium 2	11042	148	10837	142	0.057617222780185044	0.4403615396602774	hippie.2.3
epididymis	11042	470	10837	455	0.03540817497415508	0.5551274642008605	hippie.2.3
esophagus	11042	294	10837	287	0.5054210286465683	0.769478672985782	hippie.2.3
fallopian tube	11042	408	10837	396	0.12949848210720133	0.6099990422373336	hippie.2.3
gallbladder	11042	566	10837	554	0.6296146036364412	0.8664948620700833	hippie.2.3
heart muscle	11042	428	10837	420	1.0	0.9928482288566766	hippie.2.3
hippocampus	11042	460	10837	456	0.15358351002575382	2.207301801367884	hippie.2.3
kidney	11042	424	10837	411	0.065801480188374	0.5822131062875356	hippie.2.3
liver	11042	222	10837	221	0.1341273176289023	4.2467972871137905	hippie.2.3
lung	11042	267	10837	265	0.24720902160202873	2.544220582671207	hippie.2.3
lymph node	11042	456	10837	449	0.7245990182997897	1.222592001760273	hippie.2.3
nasopharynx	11042	363	10837	352	0.10852615187815176	0.5920839294229853	hippie.2.3
oral mucosa	11042	238	10837	234	1.0	1.1089785909648213	hippie.2.3
ovary	11042	134	10837	132	1.0	1.251564689397478	hippie.2.3
pancreas	11042	198	10837	193	0.42081821720534385	0.7252912438932732	hippie.2.3
parathyroid gland	11042	204	10837	203	0.18990559676850902	3.894301297724281	hippie.2.3
placenta	11042	412	10837	407	0.4540231751938813	1.560882070949185	hippie.2.3
prostate	11042	246	10837	244	0.33418599543826555	2.3379590295478145	hippie.2.3
rectum	11042	489	10837	479	0.730310729654382	0.9017667503379031	hippie.2.3
salivary gland	11042	285	10837	285	0.011385904875058823	inf	hippie.2.3
seminal vesicle	11042	267	10837	262	0.8206631397610644	0.991016548463357	hippie.2.3
skeletal muscle	11042	403	10837	394	0.5692736814820979	0.821645546724547	hippie.2.3
skin 1	11042	120	10837	118	1.0	1.1173616941878906	hippie.2.3
skin 2	11042	281	10837	276	1.0	1.0453555534513777	hippie.2.3
small intestine	11042	693	10837	677	0.3805757754693304	0.7871124507874016	hippie.2.3
smooth muscle	11042	286	10837	281	1.0	1.0647972716938234	hippie.2.3
soft tissue 1	11042	93	10837	91	0.6917286387469357	0.8595291271170669	hippie.2.3
soft tissue 2	11042	112	10837	108	0.15493711123225976	0.5058253332090595	hippie.2.3
spleen	11042	400	10837	393	1.0	1.064370520326093	hippie.2.3
stomach 1	11042	632	10837	622	0.7606751860545329	1.1873715124816446	hippie.2.3
stomach 2	11042	605	10837	595	0.8764767196462977	1.1328353837141183	hippie.2.3
testis	11042	867	10837	803	5.950876050051413e-23	0.17631147847319115	hippie.2.3
thyroid gland	11042	282	10837	274	0.2555280410861887	0.6387626621225031	hippie.2.3
tonsil	11042	435	10837	426	0.71515533179019	0.8911087631671629	hippie.2.3
urinary bladder	11042	337	10837	331	1.0	1.044942572498255	hippie.2.3
vagina	11042	234	10837	230	1.0	1.0896106344866598	hippie.2.3
adrenal gland	11042	571	6482	309	0.023237653335336905	0.821159123145241	hprd
appendix	11042	348	6482	231	0.003317804966808155	1.4033077784477561	hprd
bone marrow	11042	646	6482	444	7.841946028865648e-08	1.5864475483653036	hprd
breast	11042	77	6482	49	0.41727379604463694	1.2328618063112078	hprd
bronchus	11042	478	6482	231	3.0646539461563293e-06	0.6452752175036609	hprd
caudate	11042	504	6482	317	0.051820045308783105	1.2024417641420646	hprd
cerebellum	11042	297	6482	183	0.31041344130637527	1.1330369899984125	hprd
cerebral cortex	11042	497	6482	319	0.011770662761465867	1.2742389796301596	hprd
cervix	11042	160	6482	86	0.22496828645822176	0.8151124858441932	hprd
colon	11042	271	6482	154	0.5326757139088392	0.9241547538007715	hprd
duodenum	11042	679	6482	362	0.003745682650102323	0.7917187274489186	hprd
endometrium 1	11042	195	6482	86	3.640186187881939e-05	0.5490616268195145	hprd
endometrium 2	11042	148	6482	64	0.00014456273189949141	0.5313626853047233	hprd
epididymis	11042	470	6482	226	2.5017671920518248e-06	0.6390036057188377	hprd
esophagus	11042	294	6482	183	0.2298907257449441	1.1644448067689852	hprd
fallopian tube	11042	408	6482	183	1.0676837525848027e-08	0.5597396412128909	hprd
gallbladder	11042	566	6482	308	0.03538843581480257	0.8318304065812372	hprd
heart muscle	11042	428	6482	232	0.05706711789087705	0.8264881632653062	hprd
hippocampus	11042	460	6482	292	0.0334187874936475	1.233233325640434	hprd
kidney	11042	424	6482	231	0.07826066164465068	0.8361580281869927	hprd
liver	11042	222	6482	120	0.16842823782812041	0.8243800506684912	hprd
lung	11042	267	6482	178	0.008121563174787686	1.4184644670050761	hprd
lymph node	11042	456	6482	342	1.3540989679084522e-13	2.172312703583062	hprd
nasopharynx	11042	363	6482	173	1.7418173146690787e-05	0.6306863211285465	hprd
oral mucosa	11042	238	6482	145	0.5061210469564255	1.0990496164359853	hprd
ovary	11042	134	6482	82	0.5968651006153178	1.1107451923076923	hprd
pancreas	11042	198	6482	135	0.006904818380519619	1.5182650971212497	hprd
parathyroid gland	11042	204	6482	100	0.005070014613564719	0.6713593520237205	hprd
placenta	11042	412	6482	266	0.014325693372668032	1.2937492286807355	hprd
prostate	11042	246	6482	150	0.47227581779629685	1.1015476942514213	hprd
rectum	11042	489	6482	254	0.002233164850000831	0.7505910165484634	hprd
salivary gland	11042	285	6482	153	0.08782686407256521	0.8109424151452908	hprd
seminal vesicle	11042	267	6482	148	0.28496418629252207	0.8720019741398296	hprd
skeletal muscle	11042	403	6482	228	0.3813272446295796	0.913499931472429	hprd
skin 1	11042	120	6482	76	0.30724704327584673	1.2176652570033775	hprd
skin 2	11042	281	6482	167	0.8539736680666655	1.031353919239905	hprd
small intestine	11042	693	6482	358	0.00010970193397905534	0.7372754126168635	hprd
smooth muscle	11042	286	6482	183	0.06807149126354381	1.2571436057811611	hprd
soft tissue 1	11042	93	6482	59	0.39789297894324477	1.222783929078404	hprd
soft tissue 2	11042	112	6482	72	0.24772718125066184	1.269266770670827	hprd
spleen	11042	400	6482	288	2.5821276126125938e-08	1.8465796392822547	hprd
stomach 1	11042	632	6482	344	0.027384844130308145	0.8313239926143152	hprd
stomach 2	11042	605	6482	322	0.0050634105002114555	0.7900016061676839	hprd
testis	11042	867	6482	350	1.3787339699868045e-29	0.44635365605928123	hprd
thyroid gland	11042	282	6482	165	0.9512157934825394	0.9918900159520707	hprd
tonsil	11042	435	6482	310	3.9381850499877884e-08	1.782047958522359	hprd
urinary bladder	11042	337	6482	200	0.8224102611285602	1.0278469128572656	hprd
vagina	11042	234	6482	146	0.25464900831852927	1.1709997704315886	hprd
adrenal gland	11042	571	10858	561	0.8658757922821063	0.947984849956298	humannet.v3.xc
appendix	11042	348	10858	342	0.8313239278099538	0.9648155192088247	humannet.v3.xc
bone marrow	11042	646	10858	634	0.6349555744143225	0.8888236828377674	humannet.v3.xc
breast	11042	77	10858	75	0.3683548442386521	0.6329407400537884	humannet.v3.xc
bronchus	11042	478	10858	462	0.00875686844831932	0.4666217776067718	humannet.v3.xc
caudate	11042	504	10858	495	0.7234006513495985	0.9287851008395253	humannet.v3.xc
cerebellum	11042	297	10858	293	1.0	1.2479886417415995	humannet.v3.xc
cerebral cortex	11042	497	10858	490	0.8568557484598385	1.1950231481481481	humannet.v3.xc
cervix	11042	160	10858	154	0.051208999483054005	0.42681863477827603	humannet.v3.xc
colon	11042	271	10858	268	0.6323288036627015	1.5268492288322317	humannet.v3.xc
duodenum	11042	679	10858	667	0.7575191937740555	0.9381153305203939	humannet.v3.xc
endometrium 1	11042	195	10858	187	0.01638640630914582	0.3855308780807797	humannet.v3.xc
endometrium 2	11042	148	10858	141	0.011892217426139436	0.33267572215038854	humannet.v3.xc
epididymis	11042	470	10858	459	0.26408745500009084	0.6941838813172595	humannet.v3.xc
esophagus	11042	294	10858	287	0.3474857006283502	0.6865008040866521	humannet.v3.xc
fallopian tube	11042	408	10858	393	0.0043193647709354795	0.4231055900621118	humannet.v3.xc
gallbladder	11042	566	10858	561	0.17463872942171277	1.9504515878411188	humannet.v3.xc
heart muscle	11042	428	10858	424	0.33127086736714667	1.8286371477860839	humannet.v3.xc
hippocampus	11042	460	10858	453	1.0	1.1008581039335483	humannet.v3.xc
kidney	11042	424	10858	416	0.6964336968345775	0.8764604481900019	humannet.v3.xc
liver	11042	222	10858	221	0.2780454905253154	3.8021058569145434	humannet.v3.xc
lung	11042	267	10858	262	0.8057807955861032	0.8852019630049075	humannet.v3.xc
lymph node	11042	456	10858	447	0.5726333591788157	0.8348541606634009	humannet.v3.xc
nasopharynx	11042	363	10858	354	0.20817807096961793	0.6553059152069053	humannet.v3.xc
oral mucosa	11042	238	10858	233	0.6018365580895924	0.7850729411764706	humannet.v3.xc
ovary	11042	134	10858	134	0.17702937036522204	inf	humannet.v3.xc
pancreas	11042	198	10858	195	1.0	1.1033480258838977	humannet.v3.xc
parathyroid gland	11042	204	10858	198	0.1571877212858444	0.5510318949343339	humannet.v3.xc
placenta	11042	412	10858	404	0.5587065795420965	0.8502008800459154	humannet.v3.xc
prostate	11042	246	10858	245	0.19764199668212465	4.2245359464807315	humannet.v3.xc
rectum	11042	489	10858	481	1.0	1.0197552279078732	humannet.v3.xc
salivary gland	11042	285	10858	280	0.8135984098694076	0.9476271506901115	humannet.v3.xc
seminal vesicle	11042	267	10858	265	0.3319772369020787	2.2765033512697066	humannet.v3.xc
skeletal muscle	11042	403	10858	396	0.8421729930257672	0.9570964306196575	humannet.v3.xc
skin 1	11042	120	10858	119	0.7255542100534285	2.027842443430487	humannet.v3.xc
skin 2	11042	281	10858	277	1.0	1.178055004252906	humannet.v3.xc
small intestine	11042	693	10858	682	1.0	1.0540487421383649	humannet.v3.xc
smooth muscle	11042	286	10858	283	0.6357045721297572	1.6145941686367218	humannet.v3.xc
soft tissue 1	11042	93	10858	91	0.6691175681880184	0.7691093155010681	humannet.v3.xc
soft tissue 2	11042	112	10858	111	1.0	1.8901088675909556	humannet.v3.xc
spleen	11042	400	10858	392	0.5484546805015803	0.8240015287597936	humannet.v3.xc
stomach 1	11042	632	10858	615	0.05213745420518669	0.5898145648965434	humannet.v3.xc
stomach 2	11042	605	10858	592	0.3254383086042192	0.7585307737265656	humannet.v3.xc
testis	11042	867	10858	847	0.12778797837032785	0.693776845469983	humannet.v3.xc
thyroid gland	11042	282	10858	277	0.8120897790903628	0.9372082033834231	humannet.v3.xc
tonsil	11042	435	10858	425	0.2544364289957166	0.7088085881338062	humannet.v3.xc
urinary bladder	11042	337	10858	333	0.6646569448321911	1.4237529691211401	humannet.v3.xc
vagina	11042	234	10858	232	0.4437406918296801	1.986824769433465	humannet.v3.xc
adrenal gland	11042	571	10838	560	0.8725721991439833	0.9559695023793098	humannet.v3.fn
appendix	11042	348	10838	339	0.3060400440535973	0.6995904371844938	humannet.v3.fn
bone marrow	11042	646	10838	634	1.0	0.9941199529596236	humannet.v3.fn
breast	11042	77	10838	75	0.6544907460416282	0.703800055746539	humannet.v3.fn
bronchus	11042	478	10838	461	0.00852881775533228	0.4886768815649995	humannet.v3.fn
caudate	11042	504	10838	494	0.7353051236402137	0.9264887857695282	humannet.v3.fn
cerebellum	11042	297	10838	293	0.664217075321886	1.3892840208629682	humannet.v3.fn
cerebral cortex	11042	497	10838	489	0.8642660981739241	1.1576480819402841	humannet.v3.fn
cervix	11042	160	10838	154	0.07621908978692	0.47566454511418943	humannet.v3.fn
colon	11042	271	10838	268	0.49355530316545776	1.6987701040681173	humannet.v3.fn
duodenum	11042	679	10838	665	0.6577412374597245	0.8871522658016318	humannet.v3.fn
endometrium 1	11042	195	10838	185	0.0033377044277708686	0.3369004036421665	humannet.v3.fn
endometrium 2	11042	148	10838	140	0.006149390258233215	0.3206206767620116	humannet.v3.fn
epididymis	11042	470	10838	456	0.07665732463216772	0.5960866334590087	humannet.v3.fn
esophagus	11042	294	10838	287	0.5042723238451391	0.7655198559378258	humannet.v3.fn
fallopian tube	11042	408	10838	391	0.0019076583800582147	0.4116971379343352	humannet.v3.fn
gallbladder	11042	566	10838	558	0.5226602763479675	1.329863813229572	humannet.v3.fn
heart muscle	11042	428	10838	422	0.585828012180723	1.3369815668202765	humannet.v3.fn
hippocampus	11042	460	10838	453	0.7245879843851932	1.2276085012724396	humannet.v3.fn
kidney	11042	424	10838	415	0.582495979400528	0.8626754933000735	humannet.v3.fn
liver	11042	222	10838	221	0.19781448953571076	4.225581614392013	humannet.v3.fn
lung	11042	267	10838	261	0.640532853916519	0.8143140777157984	humannet.v3.fn
lymph node	11042	456	10838	447	0.7245179963479289	0.932056587431431	humannet.v3.fn
nasopharynx	11042	363	10838	353	0.22801981379261804	0.6531425846447305	humannet.v3.fn
oral mucosa	11042	238	10838	232	0.45722766221534744	0.7218555534603055	humannet.v3.fn
ovary	11042	134	10838	134	0.18341031669668117	inf	humannet.v3.fn
pancreas	11042	198	10838	195	1.0	1.2275674152024805	humannet.v3.fn
parathyroid gland	11042	204	10838	198	0.28207539231030565	0.6140977443609023	humannet.v3.fn
placenta	11042	412	10838	404	0.8510950384640368	0.9486294805443741	humannet.v3.fn
prostate	11042	246	10838	244	0.3336756711236398	2.3262223900320937	humannet.v3.fn
rectum	11042	489	10838	480	1.0	1.004054836841089	humannet.v3.fn
salivary gland	11042	285	10838	279	0.6548637647283818	0.8719575717397481	humannet.v3.fn
seminal vesicle	11042	267	10838	264	0.4932624629600634	1.6727822961982222	humannet.v3.fn
skeletal muscle	11042	403	10838	394	0.568214750597862	0.8173752074556364	humannet.v3.fn
skin 1	11042	120	10838	119	0.7287815998860112	2.253661722175576	humannet.v3.fn
skin 2	11042	281	10838	277	0.8214093522123616	1.311428841965723	humannet.v3.fn
small intestine	11042	693	10838	679	0.6627541010147987	0.9070774682547494	humannet.v3.fn
smooth muscle	11042	286	10838	283	0.49889502950053954	1.796399810516343	humannet.v3.fn
soft tissue 1	11042	93	10838	91	0.6906060643358963	0.8552154089513353	humannet.v3.fn
soft tissue 2	11042	112	10838	111	0.7258652577984959	2.100587303067027	humannet.v3.fn
spleen	11042	400	10838	392	0.7069197597549359	0.9193949837258281	humannet.v3.fn
stomach 1	11042	632	10838	614	0.06580091097802207	0.620565988523735	humannet.v3.fn
stomach 2	11042	605	10838	591	0.3514613349678125	0.7827378047930404	humannet.v3.fn
testis	11042	867	10838	835	0.00017298649637986243	0.4486778966310107	humannet.v3.fn
