10513	354
5228	5594
3929	6772
242	3605
1234	4616
10912	6348
11009	4353
1437	4922
1108	7124
1107	7181
4117	6462
5601	7293
596	7376
23566	5879
3565	4616
3158	6688
4321	5879
125997	8850
5621	9353
1876	23491
1876	221223
57103	7029
2966	4088
354	8926
108	387
1961	3458
1843	4922
149233	4616
3082	4248
4233	4248
29949	4353
126129	6927
596	7812
3595	4353
54815	7124
283848	5925
23491	5925
221223	5925
10912	3565
7054	9971
242	3595
2042	22899
19	7068
23410	3206
64333	999
50619	999
3592	4353
10563	51285
1029	24149
2736	9023
