partial	baseAUPRC	AUPRC	P@k	Present	Possible
p@500	4.188403358201978e-05	0.008916696777883813	0.448	4397	21951
p@test	0.00034760008227220884	0.03183180240078409	0.1059017887660932	4397	21951
p@1%	2.0194087619902395e-05	0.005432311535605672	0.6625766871165644	4397	21951
