477	81876
366	7417
81876	92483
54859	5686
54859	5692
54859	5682
54859	5690
6144	6506
483	6231
124930	5707
483	6144
54859	5689
54859	5707
54859	5700
54859	5695
29945	4676
6228	6506
119504	4676
6194	6506
6230	6506
6204	6319
54859	5706
10541	5069
11224	6506
6217	6506
54859	5701
366	7419
483	6152
483	6208
483	6157
3945	51560
6137	6506
27341	6146
482	6134
54859	5688
149371	84864
10640	84864
483	6169
6506	9045
11047	54859
483	6141
483	6130
482	6144
6134	6506
482	6157
6189	6506
26091	57819
25873	6506
23382	6152
6157	6506
