partial	baseAUPRC	AUPRC	P@k
p@500	5.1107425458547174e-05	0.1291868699468099	0.522
p@test	7.147207008570774e-05	0.1545093696310406	0.23382447149263294
p@1%	2.3106039096201407e-05	0.06553445059749266	0.8027210884353742
