partial	baseAUPRC	AUPRC	P@k	Present	Possible
p@500	1.0708988589572659e-05	0.0006012203011351325	0.068	1951	8031
p@test	6.362399103216697e-05	0.0016589304035637157	0.033223684210526315	1951	8031
p@1%	9.134137326400208e-06	0.0005369846287779762	0.09119496855345911	1951	8031
