partial	baseAUPRC	AUPRC	P@k	Present	Possible
p@500	3.1130809681229e-06	0.000561301940845333	0.022	387	3693
p@test	6.5091692969842445e-06	0.0005940135009019847	0.0069570477918935265	387	3693
p@1%	1.4150368036922273e-06	0.0005262197639693102	0.045871559633027525	387	3693
