partial	baseAUPRC	AUPRC	P@k
p@500	3.644917274765694e-05	0.012015713772874735	0.228
p@test	0.00015059263477321423	0.03207456090376122	0.14872118724344807
p@1%	2.4938907669449486e-05	0.0092257680444612	0.2727272727272727
