partial	baseAUPRC	AUPRC	P@k
p@500	0.0001274240697139194	0.39777358129564655	0.846
p@test	0.00017803221087689448	0.5183489089797686	0.5771484375
p@1%	2.9521415678402134e-05	0.095703125	1.0
