partial	baseAUPRC	AUPRC	P@k
p@500	0.00012792407585414964	0.40091522322942597	0.848
p@test	0.0001683529111476781	0.4997425647402747	0.5459882583170255
p@1%	2.956735715496855e-05	0.0958904109589041	1.0
