10042,3054
5436,9400
3018,9557
5170,6868
3320,6885
10423,55845
57521,9675
10787,51474
595,7311
22803,23
1656,26135
1460,64319
1981,83939
3014,6119
10038,2547
55355,7520
10594,54888
64240,64241
8453,9820
7529,84747
10615,79711
2113,2114
8189,8394
10238,84108
3065,9112
10492,26471
908,9319
10138,57507
10336,84108
27335,8669
6890,6891
2547,7518
267,7311
219541,9412
3182,5058
2873,54461
2354,7528
51100,60561
8661,8666
11073,5883
7532,84747
142,9557
5394,54512
5976,8473
2203,3091
285,7010
10933,7316
5469,892
5581,5587
5111,890
