26173,5434
4791,6156
1973,2316
4778,7311
79184,84142
154810,5562
1643,9978
25920,5432
5692,5695
2316,3192
5437,57117
4781,4782
10856,1832
11091,1460
6774,6850
10859,567
4084,6198
7936,9400
11340,51013
23269,9611
6256,7421
2547,6119
154796,9113
5784,7531
23279,55031
64422,9140
4101,7157
10042,124944
55613,66036
1655,6184
221037,9656
51421,7533
22994,8878
6596,7320
1108,861
10499,367
51138,9318
10419,9400
24145,840
4343,93035
7704,9611
3735,3921
5728,8975
4210,834
116379,50616
1234,6356
10152,10810
2316,367
10464,64770
25847,64682
