,0
Hashimoto24,-0.01704157913794935
Kumbrink24_1v2,0.8608509877317252
Kumbrink24_2v3,0.33326192198957494
Reed24_Catabolic process module,0.09938106211731348
Reed24_Cell cycle module,2.760611228094753
Reed24_Cellular response to stimulus module,0.21476698910968223
Reed24_Endoplasmic reticulum module,0.4599774196703471
Reed24_Leukocyte module,0.023907160200206286
Reed24_Neutrophil activation module,0.8258532538232374
Reed24_Organic acid metabolic process module,0.016443512347540795
Yu24,0.023348327510874668
Zhao24_CAFRGs,0.00016394460949312626
