partial	baseAUPRC	AUPRC	P@k	Present	Possible
p@500	0.0	0.0	0.0	67	1405
p@test	1.8698229277687403e-07	3.333560015414382e-07	0.0007473841554559044	67	1405
p@1%	0.0	0.0	0.0	67	1405
