partial	baseAUPRC	AUPRC	P@k	Present	Possible
p@500	4.811125132553573e-06	0.0005777006472038223	0.034	2712	11554
p@test	0.0001624462250638677	0.005395770085400368	0.0649174394933273	2712	11554
p@1%	3.3960883288613457e-06	0.0005456021608129009	0.11009174311926606	2712	11554
