partial	baseAUPRC	AUPRC	P@k
p@500	2.3742503830357105e-05	0.012407159884199784	0.158
p@test	4.4179089405854355e-05	0.022216535804925577	0.14411764705882352
p@1%	5.109146393874313e-06	0.0022882673698607988	0.17346938775510204
