partial	baseAUPRC	AUPRC	P@k	Present	Possible
p@500	1.6980441644306726e-06	0.0003233061130185975	0.012	387	3693
p@test	1.9810515251691184e-06	0.000324389651555884	0.002117362371445856	387	3693
p@1%	1.6980441644306726e-06	0.0003233061130185975	0.05504587155963303	387	3693
