partial	baseAUPRC	AUPRC	P@k	Present	Possible
p@500	2.1128999083786766e-05	0.002701048999261094	0.226	4397	21951
p@test	0.00024943437856435	0.010785548965713385	0.0759940754244047	4397	21951
p@1%	1.3088760494381183e-05	0.0018798843468784202	0.4294478527607362	4397	21951
