partial	baseAUPRC	AUPRC	P@k
p@500	1.6447805169208284e-05	0.008194670140592334	0.166
p@test	4.0624097104671054e-05	0.020557576464371598	0.13260025873221215
p@1%	4.557825528816753e-06	0.0016410852513794457	0.1564625850340136
