26528	2805
27089	483
6647	4507
3336	1396
8544	3939
6697	1396
8544	8407
26528	6697
3939	1396
8544	3945
81876	34
8544	1396
4714	481
10963	3613
4724	483
28970	1072
1854	445
4714	483
4714	1213
1396	445
6747	5250
51506	26528
26528	25824
1854	231
28970	3336
28970	8407
4715	476
5962	1854
2286	1854
55847	5861
8942	7086
654364	26528
51031	8544
28970	3094
25824	1396
28970	1396
4478	2879
28970	26528
128989	7086
5315	1396
10963	1396
5037	1396
23787	3998
28970	6697
4831	1396
1854	1396
29114	5093
29934	7086
29114	2879
26528	23406
26528	23760
