partial	baseAUPRC	AUPRC	P@k
p@500	2.7756621403039258e-05	0.01902280592963047	0.182
p@test	5.0937975541841275e-05	0.031285258961729845	0.16356513222331048
p@1%	6.710391987547952e-06	0.004886639825011745	0.22448979591836735
