partial	baseAUPRC	AUPRC	P@k
p@500	1.6267107175676146e-05	0.0025014120612101573	0.102
p@test	7.910279567779773e-05	0.008402511185440178	0.07815947053261897
p@1%	1.052577523131986e-05	0.001889345616600323	0.11498257839721254
