partial	baseAUPRC	AUPRC	P@k	Present	Possible
p@500	9.449107579034698e-07	1.3849845914974795e-05	0.006	1665	3751
p@test	2.5197620210759193e-06	2.4380715646402903e-05	0.003835091083413231	1665	3751
p@1%	9.449107579034698e-07	1.3849845914974795e-05	0.009433962264150943	1665	3751
